"paper_id","doi","citation","source_url","source_file","source_sheet","original_row_number","occurrenceID","scientificName","scientificNameAuthorship","family","genus","basisOfRecord","occurrenceStatus","establishmentMeans","recordedBy","catalogNumber","recordNumber","locality","verbatimLocality","localityNotes","country","countryCode","stateProvince","county","municipality","island","islandGroup","waterBody","politicalUnitsRaw","decimalLatitude","decimalLongitude","verbatimLatitude","verbatimLongitude","coordinateUncertaintyInMeters","geodeticDatum","georeferenceRemarks","verbatimElevation","minimumElevationInMeters","maximumElevationInMeters","elevation","habitat","habit","eventDate","eventYear","eventMonth","eventDay","occurrenceRemarks","sourceProvenance"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",1,"Anc.sett.plant.001","Agropyron pectinatum (M.Bieb.) P.Beauv.",,"Poaceae","Agropyron","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",2,"Anc.sett.plant.002","Allium guttatum Steven",,"Amaryllidaceae","Allium","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",3,"Anc.sett.plant.003","Allium paczoskianum Tuzson",,"Amaryllidaceae","Allium","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",4,"Anc.sett.plant.004","Allium paniculatum L.",,"Amaryllidaceae","Allium","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",5,"Anc.sett.plant.005","Asparagus officinalis L.",,"Asparagaceae","Asparagus","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",6,"Anc.sett.plant.006","Asparagus verticillatus L.",,"Asparagaceae","Asparagus","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",7,"Anc.sett.plant.007","Carex stenophylla Wahlenb.",,"Cyperaceae","Carex","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",8,"Anc.sett.plant.008","Cuscuta approximata Bab.",,"Convolvulaceae","Cuscuta","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",9,"Anc.sett.plant.009","Cuscuta lupuliformis Krock.",,"Convolvulaceae","Cuscuta","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",10,"Anc.sett.plant.010","Echinochloa crus-galli (L.) P.Beauv.",,"Poaceae","Echinochloa","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",11,"Anc.sett.plant.011","Elytrigia stipifolia (Trautv.) Nevski",,"Poaceae","Elytrigia","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
"dayneko_2023","10.3897/bdj.11.e99041","Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",12,"Anc.sett.plant.012","Eragrostis minor Host",,"Poaceae","Eragrostis","MaterialCitation",,,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,"Ukraine","UA","Kherson Region","Beryslav District",,,,,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District",46.956663,33.613434,"46.956663","33.613434",,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,,,,,"2015-04/2020-09",2015,4,20,,"dayneko_2023_gbif_dwca.zip#occurrence"
