source_id,occurrenceID,species,scientificName,taxonRank,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,countryCode,country,stateProvince,locality,eventDate,year,month,day,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,identifiedBy,datasetName,gbif_datasetKey,source_doi,download_timestamp_utc,qa_flags
manual_flora_sumatra_gbif_anda2,2640604340,Ardisia villosa,Ardisia villosa Roxb.,SPECIES,-0.45,100.75,,ID,Indonesia,,West Sumatra,2019-03-11,2019,3,11,PRESERVED_SPECIMEN,,,,,ANDA,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640598285,Blumea balsamifera,Blumea balsamifera (L.) DC.,SPECIES,-0.55,100.33,,ID,Indonesia,,West Sumatra,2019-04-05,2019,4,5,PRESERVED_SPECIMEN,,,,,Rezi,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640598287,Blumea balsamifera,Blumea balsamifera (L.) DC.,SPECIES,-0.55,100.33,,ID,Indonesia,,West Sumatra,2019-04-05,2019,4,5,PRESERVED_SPECIMEN,,,,,Rezi,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640598386,,Blumea DC.,GENUS,-1.151398,100.95245,,ID,Indonesia,,West Sumatra,2019-04-19,2019,4,19,PRESERVED_SPECIMEN,,,,,Rezi,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640599905,Emilia sonchifolia,Emilia sonchifolia (L.) DC. ex Wight,SPECIES,-0.1282,100.6967,,ID,Indonesia,,West Sumatra,2019-04-17,2019,4,17,PRESERVED_SPECIMEN,,,,,Nurainas,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640604846,Senna alata,Senna alata (L.) Roxb.,SPECIES,-0.63,100.28,,ID,Indonesia,,West Sumatra,2019-04-06,2019,4,6,PRESERVED_SPECIMEN,,,,,ANDA,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640605793,Sanchezia oblonga,Sanchezia nobilis Hook.fil.,SPECIES,-0.55,100.33,,ID,Indonesia,,West Sumatra,2019-04-06,2019,4,6,PRESERVED_SPECIMEN,,,,,,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640604109,Miconia crenata,Clidemia hirta (L.) D.Don,SPECIES,0.452746,100.080165,,ID,Indonesia,,West Sumatra,2019-05-18,2019,5,18,PRESERVED_SPECIMEN,,,,,ANDA,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640607903,Elephantopus scaber,Elephantopus scaber L.,SPECIES,-0.8895,100.5206,,ID,Indonesia,,West Sumatra,2019-05-05,2019,5,5,PRESERVED_SPECIMEN,,,,,Rezi,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
manual_flora_sumatra_gbif_anda2,2640608021,Elephantopus scaber,Elephantopus scaber L.,SPECIES,-0.8895,100.5206,,ID,Indonesia,,West Sumatra,2019-05-05,2019,5,5,PRESERVED_SPECIMEN,,,,,Rezi,,39e85504-1ebe-4671-be65-19ccdc1d7c7d,10.15468/55evew,2026-04-29T23:11:06Z,
