source_id,occurrenceID,species,scientificName,taxonRank,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,countryCode,country,stateProvince,locality,eventDate,year,month,day,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,identifiedBy,datasetName,gbif_datasetKey,source_doi,download_timestamp_utc,qa_flags
manual_kyrgyzstan_dryad_2025,1095,,Anaphalis racemifera,species,41.33,74.296,,,Kyrgyzstan,Ysyk-Köl Region,"Ak-Shyyrak Mts.: N side, Aldake, archa forest with spruce",8/16/1958,1958,8,16,HerbariumSpecimen,LE,,,Ubukeeva & Filatova,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1096,,Anaphalis racemifera,species,41.33,74.296,,,Kyrgyzstan,Ysyk-Köl Region,"Ak-Shyyrak Mts.: N side, Aldake, archa forest with spruce",8/16/1958,1958,8,16,HerbariumSpecimen,FRU,,,Ubukeeva & Filatova,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1097,,Anaphalis racemifera,species,42.63,75.041,,,Kyrgyzstan,Chüy Region,Kyrgyz Range: Tuyuk,7/27/1939,1939,7,27,HerbariumSpecimen,LE,,,P.S. Massagetov,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1098,,Anaphalis racemifera,species,40.55,74.359,,,Kyrgyzstan,Osh Region,Kulun Lake,7/14/1974,1974,7,14,HerbariumSpecimen,FRU,,,Aydarova et al.,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1099,,Anaphalis racemifera,species,41.742,73.9,,,Kyrgyzstan,Naryn Region,left side of Köbük River at its confluence with Kökömeren,7/20/1961,1961,7,20,HerbariumSpecimen,FRU,,,Aidarova et al.,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1100,,Anaphalis racemifera,species,40.653,73.856,,,Kyrgyzstan,Osh Region,"Kara-Kulja River, Ak-Tash",8/10/1974,1974,8,10,HerbariumSpecimen,FRU,,,Aidarova et al.,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1101,,Anaphalis racemifera,species,41.2,73.753,,,Kyrgyzstan,Jalal-Abad Region,"",8/2/1915,1915,8,2,HerbariumSpecimen,LE,,,M. Spiridonov,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1102,,Anaphalis racemifera,species,40.316,73.6,,,Kyrgyzstan,Osh Region,upper reaches of Kulmambet River,8/30/1947,1947,8,30,HerbariumSpecimen,FRU,,,A. Gusarova & Khizhniakova,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1103,,Anaphalis racemifera,species,41.174,73.554,,,Kyrgyzstan,Jalal-Abad Region,Fergana Range: upper reaches of Kök-Art River,7/31/1962,1962,7,31,HerbariumSpecimen,LE,,,M. Pryakhin,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1104,,Anaphalis racemifera,species,41.555,73.26,,,Kyrgyzstan,Osh Region,Kara-Suu Lake,7/30/1974,1974,7,30,HerbariumSpecimen,LE,,,V. Botschantzev,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1105,,Anaphalis racemifera,species,41.33,73.12,,,Kyrgyzstan,Jalal-Abad Region,Kuroves-Suu,8/18/1911,1911,8,18,HerbariumSpecimen,LE,,,Z. von Minkwitz,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1106,,Anaphalis racemifera,species,41.357,73.041,,,Kyrgyzstan,Jalal-Abad Region,Kyzyl-Üngkür,7/13/1945,1945,7,13,HerbariumSpecimen,LE,,,Matveeva,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1107,,Anaphalis racemifera,species,41.357,73.041,,,Kyrgyzstan,Jalal-Abad Region,Kyzyl-Üngkür,8/5/1945,1945,8,5,HerbariumSpecimen,LE,,,Matveeva,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
manual_kyrgyzstan_dryad_2025,1108,,Anaphalis racemifera,species,41.25,72.975,,,Kyrgyzstan,Jalal-Abad Region,along Kara-Ünkür River,13/08/1895,1895,8,13,HerbariumSpecimen,LE,,,S. Korshinsky,A.N.Sennikov,Kyrgyzstan vascular plants (Sennikov & Lazkov 2025),,10.5061/dryad.x3ffbg7wt,2026-04-29T23:08:25Z,
