occurrenceID,institutionCode,collectionID,collectionCode,catalogNumber,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,dateIdentified,identifiedBy,typeStatus,continent,country,stateProvince,locality,decimalLatitude,decimalLongitude,coordinatePrecision,verbatimElevation,basisOfRecord,eventDate,year,month,day,habitat,fieldNumber,recordedBy,taxonRemarks
1095,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Ysyk-Köl Region,"Ak-Shyyrak Mts.: N side, Aldake, archa forest with spruce",41.33,74.296,,,HerbariumSpecimen,8/16/1958,1958,8,16,,,Ubukeeva & Filatova ,
1096,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Ysyk-Köl Region,"Ak-Shyyrak Mts.: N side, Aldake, archa forest with spruce",41.33,74.296,,,HerbariumSpecimen,8/16/1958,1958,8,16,,,Ubukeeva & Filatova ,
1097,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Chüy Region,Kyrgyz Range: Tuyuk,42.63,75.041,,,HerbariumSpecimen,7/27/1939,1939,7,27,,,P.S. Massagetov,
1098,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,Kulun Lake,40.55,74.359,,,HerbariumSpecimen,7/14/1974,1974,7,14,,,Aydarova et al.,
1099,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Naryn Region,left side of Köbük River at its confluence with Kökömeren,41.742,73.9,,,HerbariumSpecimen,7/20/1961,1961,7,20,,,Aidarova et al.,
1100,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,"Kara-Kulja River, Ak-Tash",40.653,73.856,,,HerbariumSpecimen,8/10/1974,1974,8,10,,,Aidarova et al.,
1101,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,,41.2,73.753,,,HerbariumSpecimen,8/2/1915,1915,8,2,,,M. Spiridonov ,
1102,FRU,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,upper reaches of Kulmambet River,40.316,73.6,,,HerbariumSpecimen,8/30/1947,1947,8,30,,,A. Gusarova & Khizhniakova ,
1103,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Jalal-Abad Region,Fergana Range: upper reaches of Kök-Art River,41.174,73.554,,,HerbariumSpecimen,7/31/1962,1962,7,31,,,M. Pryakhin ,
1104,LE,,,,,,,,Asteraceae,Anaphalis,,racemifera,,Anaphalis racemifera,Franch.,species,01/01/2012,A.N.Sennikov,,Asia,Kyrgyzstan,Osh Region,Kara-Suu Lake,41.555,73.26,,,HerbariumSpecimen,7/30/1974,1974,7,30,,267,V. Botschantzev,
