source_id,occurrenceID,species,scientificName,taxonRank,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,countryCode,country,stateProvince,locality,eventDate,year,month,day,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,identifiedBy,datasetName,gbif_datasetKey,source_doi,download_timestamp_utc,qa_flags
manual_pucv_herbarium_gbif,3808190897,Stachys gilliesii,Stachys gilliesii Benth.,SPECIES,-33.617,-70.3,,CL,Chile,Metropolitana,San José de Maipo,2019-12-30,2019,12,30,PRESERVED_SPECIMEN,PUCV,angio,angio:7116,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808195816,Aldama revoluta,Aldama revoluta (Meyen) E.E.Schill. & Panero,SPECIES,-34.4,-71.2,,CL,Chile,O'Higgins,Cachapoal,2019-12-19,2019,12,19,PRESERVED_SPECIMEN,PUCV,angio,angio:6578,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808196904,Azara alpina,Azara alpina Poepp. & Endl.,SPECIES,-36.9,-71.55,,CL,Chile,Ñuble,Termas de Chillán,2012-12-19,2012,12,19,PRESERVED_SPECIMEN,PUCV,angio,angio:5035,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808190807,Ipomoea carnea,Ipomoea carnea Jacq.,SPECIES,,,,AR,Argentina,,Departamento Goya,2009-01-02,2009,1,2,PRESERVED_SPECIMEN,PUCV,angio,angio:8408,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808195252,Sisymbrium officinale,Sisymbrium officinale (L.) Scop.,SPECIES,-33.033,-71.5,,CL,Chile,Valparaíso,Parque de Fauna el Olivar,2008-11-16,2008,11,16,PRESERVED_SPECIMEN,PUCV,angio,angio:10004,Bernardo Parra Leiva,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808187349,Nothofagus alessandrii,Nothofagus alessandrii Espinosa,SPECIES,,,,CL,Chile,Maule,Empedrado,1997-01-07,1997,1,7,PRESERVED_SPECIMEN,PUCV,angio,angio:10842-01,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189816,Adesmia boronoides,"Adesmia boronoides Hook.f., 1845",SPECIES,-36.9,-71.4,,CL,Chile,Ñuble,Termas de Chillán,1997-01-09,1997,1,9,PRESERVED_SPECIMEN,PUCV,angio,angio:10866,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189891,Nothofagus alessandrii,Nothofagus alessandrii Espinosa,SPECIES,-35.583,-72.283,,CL,Chile,Maule,Empedrado,1997-01-07,1997,1,7,PRESERVED_SPECIMEN,PUCV,angio,angio:10842,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808188888,Austrocedrus chilensis,Austrocedrus chilensis (D.Don) Pic.Serm. & Bizzarri,SPECIES,-37.35,-71.5,,CL,Chile,Biobío,Antuco,1997-02-10,1997,2,10,PRESERVED_SPECIMEN,PUCV,gimno,gimno:10841-01,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189776,Eucryphia glutinosa,Eucryphia glutinosa (Poepp. & Endl.) Baill.,SPECIES,-36.883,-71.55,,CL,Chile,Ñuble,Diguillín,1997-02-08,1997,2,8,PRESERVED_SPECIMEN,PUCV,angio,angio:10858,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189781,Trichocline dealbata,Trichocline dealbata (Hook. & Arn.) Benth. & Hook.fil. ex Hieron.,SPECIES,,,,CL,Chile,O'Higgins,Entre Pichilemu y Bucalemu,1997-02-05,1997,2,5,PRESERVED_SPECIMEN,PUCV,angio,angio:10857,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189783,Nothofagus antarctica,Nothofagus antarctica (G.Forst.) Oerst.,SPECIES,-38.8,-71.283,,CL,Chile,Araucanía,Laguna de Icalma,1997-02-18,1997,2,18,PRESERVED_SPECIMEN,PUCV,angio,angio:10853,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189789,Nothofagus alpina,Nothofagus alpina (Poepp. & Endl.) Oerst.,SPECIES,-36.9,-71.533,,CL,Chile,Biobío,Shangri-La,1997-02-09,1997,2,9,PRESERVED_SPECIMEN,PUCV,angio,angio:10852,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
manual_pucv_herbarium_gbif,3808189827,Ovidia andina,Ovidia andina (Poepp. & Endl.) Meisn.,SPECIES,-38.8,-71.283,,CL,Chile,Araucanía,Laguna de Icalma,1997-02-19,1997,2,19,PRESERVED_SPECIMEN,PUCV,angio,angio:10865,Otto Zöellner Sch.,Otto Zöellner Sch.,,0f99f0f9-e32a-4deb-ad51-4e729dc9f274,10.15468/k485f5,2026-04-29T23:11:06Z,
