freq	dB(S(2,1))
6.00000000000000000E9	-2.55685668333235938E2
6.00004999999999988E9	-2.55677613493984923E2
6.00009999999999977E9	-2.55669553088492885E2
6.00014999999999965E9	-2.55661487117885189E2
6.00019999999999953E9	-2.55653415583282051E2
6.00024999999999942E9	-2.55645338485799156E2
6.00030000000000019E9	-2.55637255826548015E2
6.00035000000000096E9	-2.55629167606635299E2
6.00039999999999996E9	-2.55621073827163325E2
6.00044999999999895E9	-2.55612974489229572E2
6.00049999999999972E9	-2.55604869593927564E2
6.00055000000000049E9	-2.55596759142345586E2
6.00060000000000038E9	-2.55588643135568150E2
6.00064999999999937E9	-2.55580521574674702E2
6.00069999999999926E9	-2.55572394460740160E2
6.00075000000000092E9	-2.55564261794835357E2
6.00079999999999991E9	-2.55556123578026284E2
6.00085000000000068E9	-2.55547979811374359E2
6.00089999999999968E9	-2.55539830495937048E2
6.00095000000000045E9	-2.55531675632766753E2
6.00100000000000033E9	-2.55523515222911612E2
6.00105000000000022E9	-2.55515349267415104E2
6.00110000000000010E9	-2.55507177767316751E2
6.00114999999999998E9	-2.55499000723650704E2
6.00119999999999987E9	-2.55490818137447295E2
6.00125000000000064E9	-2.55482630009732592E2
6.00129999999999963E9	-2.55474436341527555E2
6.00135000000000041E9	-2.55466237133849017E2
6.00139999999999940E9	-2.55458032387709455E2
6.00145000000000017E9	-2.55449822104116553E2
6.00150000000000006E9	-2.55441606284073774E2
6.00154999999999994E9	-2.55433384928580054E2
6.00160000000000071E9	-2.55425158038629752E2
6.00164999999999971E9	-2.55416925615213497E2
6.00169999999999959E9	-2.55408687659316458E2
6.00174999999999947E9	-2.55400444171920071E2
6.00180000000000113E9	-2.55392195154001111E2
6.00185000000000013E9	-2.55383940606531734E2
6.00189999999999912E9	-2.55375680530480142E2
6.00194999999999901E9	-2.55367414926809344E2
6.00200000000000067E9	-2.55359143796479282E2
6.00205000000000055E9	-2.55350867140443993E2
6.00210000000000043E9	-2.55342584959653873E2
6.00214999999999854E9	-2.55334297255054876E2
6.00220000000000020E9	-2.55326004027588471E2
6.00225000000000009E9	-2.55317705278191598E2
6.00229999999999997E9	-2.55309401007797154E2
6.00234999999999985E9	-2.55301091217332976E2
6.00239999999999974E9	-2.55292775907723524E2
6.00245000000000051E9	-2.55284455079887884E2
6.00249999999999950E9	-2.55276128734741414E2
6.00255000000000027E9	-2.55267796873194852E2
6.00259999999999927E9	-2.55259459496154273E2
6.00265000000000004E9	-2.55251116604522021E2
6.00269999999999992E9	-2.55242768199195558E2
6.00274999999999981E9	-2.55234414281067945E2
6.00279999999999969E9	-2.55226054851028561E2
6.00285000000000046E9	-2.55217689909961543E2
6.00289999999999946E9	-2.55209319458747341E2
6.00295000000000023E9	-2.55200943498261612E2
6.00299999999999923E9	-2.55192562029376102E2
6.00305000000000000E9	-2.55184175052957496E2
6.00310000000000077E9	-2.55175782569868570E2
6.00314999999999976E9	-2.55167384580968459E2
6.00319999999999965E9	-2.55158981087110792E2
6.00325000000000042E9	-2.55150572089145378E2
6.00330000000000030E9	-2.55142157587917939E2
6.00335000000000019E9	-2.55133737584269138E2
6.00339999999999918E9	-2.55125312079036259E2
6.00344999999999995E9	-2.55116881073051482E2
6.00350000000000072E9	-2.55108444567142811E2
6.00354999999999972E9	-2.55100002562134742E2
6.00360000000000049E9	-2.55091555058846309E2
6.00365000000000038E9	-2.55083102058093036E2
6.00370000000000026E9	-2.55074643560685610E2
6.00375000000000014E9	-2.55066179567430806E2
6.00380000000000003E9	-2.55057710079130828E2
6.00384999999999991E9	-2.55049235096583748E2
6.00389999999999979E9	-2.55040754620583510E2
6.00394999999999968E9	-2.55032268651919480E2
6.00399999999999956E9	-2.55023777191376722E2
6.00404999999999944E9	-2.55015280239736253E2
6.00410000000000110E9	-2.55006777797774609E2
6.00415000000000010E9	-2.54998269866264238E2
6.00419999999999909E9	-2.54989756445972970E2
6.00424999999999986E9	-2.54981237537664551E2
6.00430000000000064E9	-2.54972713142098861E2
6.00435000000000052E9	-2.54964183260030941E2
6.00439999999999952E9	-2.54955647892211923E2
6.00444999999999940E9	-2.54947107039388277E2
6.00450000000000017E9	-2.54938560702302697E2
6.00455000000000005E9	-2.54930008881693348E2
6.00460000000000083E9	-2.54921451578294000E2
6.00464999999999982E9	-2.54912888792834602E2
6.00470000000000059E9	-2.54904320526040618E2
6.00474999999999959E9	-2.54895746778633248E2
6.00480000000000036E9	-2.54887167551329519E2
6.00485000000000024E9	-2.54878582844842105E2
6.00490000000000013E9	-2.54869992659879596E2
6.00495000000000001E9	-2.54861396997146183E2
6.00499999999999989E9	-2.54852795857341841E2
6.00504999999999978E9	-2.54844189241162855E2
6.00510000000000055E9	-2.54835577149300452E2
6.00514999999999954E9	-2.54826959582442258E2
6.00520000000000032E9	-2.54818336541271195E2
6.00524999999999931E9	-2.54809708026466364E2
6.00530000000000008E9	-2.54801074038702646E2
6.00535000000000085E9	-2.54792434578650306E2
6.00539999999999985E9	-2.54783789646975745E2
6.00544999999999973E9	-2.54775139244341275E2
6.00549999999999962E9	-2.54766483371404728E2
6.00555000000000128E9	-2.54757822028819891E2
6.00560000000000027E9	-2.54749155217236289E2
6.00564999999999927E9	-2.54740482937299140E2
6.00569999999999915E9	-2.54731805189649707E2
6.00575000000000081E9	-2.54723121974924727E2
6.00580000000000069E9	-2.54714433293757292E2
6.00585000000000058E9	-2.54705739146776100E2
6.00589999999999868E9	-2.54697039534605141E2
6.00595000000000034E9	-2.54688334457864984E2
6.00600000000000023E9	-2.54679623917171583E2
6.00605000000000011E9	-2.54670907913136846E2
6.00609999999999999E9	-2.54662186446368421E2
6.00614999999999988E9	-2.54653459517469738E2
6.00619999999999976E9	-2.54644727127040493E2
6.00624999999999964E9	-2.54635989275675900E2
6.00630000000000042E9	-2.54627245963966820E2
6.00634999999999941E9	-2.54618497192500293E2
6.00640000000000018E9	-2.54609742961859187E2
6.00644999999999918E9	-2.54600983272621750E2
6.00649999999999995E9	-2.54592218125362546E2
6.00654999999999983E9	-2.54583447520652095E2
6.00660000000000061E9	-2.54574671459056479E2
6.00664999999999960E9	-2.54565889941137691E2
6.00669999999999948E9	-2.54557102967453641E2
6.00674999999999937E9	-2.54548310538558020E2
6.00680000000000014E9	-2.54539512655000211E2
6.00685000000000091E9	-2.54530709317326087E2
6.00689999999999991E9	-2.54521900526076461E2
6.00694999999999890E9	-2.54513086281789258E2
6.00700000000000056E9	-2.54504266584997119E2
6.00705000000000044E9	-2.54495441436229042E2
6.00710000000000033E9	-2.54486610836009941E2
6.00714999999999932E9	-2.54477774784860333E2
6.00720000000000010E9	-2.54468933283297094E2
6.00725000000000087E9	-2.54460086331832480E2
6.00729999999999986E9	-2.54451233930975018E2
6.00735000000000063E9	-2.54442376081228971E2
6.00739999999999963E9	-2.54433512783094518E2
6.00745000000000040E9	-2.54424644037067527E2
6.00750000000000028E9	-2.54415769843640316E2
6.00755000000000017E9	-2.54406890203300229E2
6.00760000000000005E9	-2.54398005116531456E2
6.00764999999999993E9	-2.54389114583813214E2
6.00769999999999982E9	-2.54380218605621478E2
6.00774999999999970E9	-2.54371317182427603E2
6.00779999999999959E9	-2.54362410314698817E2
6.00785000000000036E9	-2.54353498002898570E2
6.00789999999999935E9	-2.54344580247486052E2
6.00794999999999924E9	-2.54335657048916142E2
6.00800000000000001E9	-2.54326728407639990E2
6.00805000000000078E9	-2.54317794324104707E2
6.00810000000000066E9	-2.54308854798753137E2
6.00814999999999877E9	-2.54299909832024129E2
6.00819999999999954E9	-2.54290959424352181E2
6.00825000000000031E9	-2.54282003576168147E2
6.00830000000000020E9	-2.54273042287898488E2
6.00835000000000008E9	-2.54264075559965841E2
6.00839999999999907E9	-2.54255103392788495E2
6.00845000000000073E9	-2.54246125786781008E2
6.00849999999999973E9	-2.54237142742353806E2
6.00855000000000050E9	-2.54228154259912786E2
6.00859999999999950E9	-2.54219160339860650E2
6.00865000000000027E9	-2.54210160982595301E2
6.00870000000000015E9	-2.54201156188510691E2
6.00875000000000004E9	-2.54192145957997262E2
6.00879999999999992E9	-2.54183130291440484E2
6.00884999999999980E9	-2.54174109189223030E2
6.00889999999999969E9	-2.54165082651722374E2
6.00895000000000046E9	-2.54156050679312306E2
6.00899999999999945E9	-2.54147013272362976E2
6.00905000000000022E9	-2.54137970431240090E2
6.00910000000000100E9	-2.54128922156305226E2
6.00914999999999999E9	-2.54119868447916097E2
6.00919999999999987E9	-2.54110809306426599E2
6.00924999999999976E9	-2.54101744732186452E2
6.00930000000000053E9	-2.54092674725541112E2
6.00935000000000041E9	-2.54083599286832174E2
6.00939999999999941E9	-2.54074518416397277E2
6.00944999999999929E9	-2.54065432114569933E2
6.00950000000000095E9	-2.54056340381679790E2
6.00954999999999995E9	-2.54047243218051921E2
6.00960000000000072E9	-2.54038140624008246E2
6.00964999999999883E9	-2.54029032599866333E2
6.00970000000000049E9	-2.54019919145939310E2
6.00975000000000037E9	-2.54010800262536929E2
6.00980000000000025E9	-2.54001675949964412E2
6.00985000000000014E9	-2.53992546208523073E2
6.00990000000000002E9	-2.53983411038510232E2
6.00994999999999990E9	-2.53974270440219740E2
6.00999999999999979E9	-2.53965124413940835E2
6.01004999999999967E9	-2.53955972959959109E2
6.01009999999999955E9	-2.53946816078555360E2
6.01015000000000033E9	-2.53937653770007632E2
6.01019999999999932E9	-2.53928486034588863E2
6.01025000000000009E9	-2.53919312872568659E2
6.01029999999999909E9	-2.53910134284212141E2
6.01035000000000075E9	-2.53900950269781367E2
6.01039999999999974E9	-2.53891760829533375E2
6.01044999999999963E9	-2.53882565963721607E2
6.01049999999999951E9	-2.53873365672595508E2
6.01055000000000028E9	-2.53864159956400481E2
6.01060000000000105E9	-2.53854948815378201E2
6.01065000000000005E9	-2.53845732249765854E2
6.01069999999999904E9	-2.53836510259797432E2
6.01074999999999982E9	-2.53827282845702040E2
6.01080000000000059E9	-2.53818050007705454E2
6.01085000000000047E9	-2.53808811746029139E2
6.01089999999999947E9	-2.53799568060890790E2
6.01095000000000024E9	-2.53790318952504146E2
6.01100000000000012E9	-2.53781064421078595E2
6.01105000000000000E9	-2.53771804466819839E2
6.01110000000000078E9	-2.53762539089929762E2
6.01114999999999977E9	-2.53753268290606204E2
6.01120000000000054E9	-2.53743992069042879E2
6.01124999999999954E9	-2.53734710425429544E2
6.01130000000000031E9	-2.53725423359951963E2
6.01135000000000019E9	-2.53716130872792212E2
6.01140000000000008E9	-2.53706832964128370E2
6.01144999999999996E9	-2.53697529634133812E2
6.01149999999999984E9	-2.53688220882979198E2
6.01154999999999973E9	-2.53678906710830487E2
6.01160000000000050E9	-2.53669587117849549E2
6.01164999999999949E9	-2.53660262104194834E2
6.01169999999999938E9	-2.53650931670020352E2
6.01174999999999926E9	-2.53641595815476339E2
6.01180000000000092E9	-2.53632254540709123E2
6.01185000000000080E9	-2.53622907845861434E2
6.01189999999999891E9	-2.53613555731071161E2
6.01194999999999968E9	-2.53604198196473263E2
6.01200000000000045E9	-2.53594835242197902E2
6.01205000000000034E9	-2.53585466868371912E2
6.01210000000000022E9	-2.53576093075117814E2
6.01214999999999922E9	-2.53566713862554272E2
6.01219999999999999E9	-2.53557329230796125E2
6.01224999999999987E9	-2.53547939179954351E2
6.01230000000000064E9	-2.53538543710135711E2
6.01234999999999964E9	-2.53529142821443365E2
6.01240000000000041E9	-2.53519736513976213E2
6.01244999999999941E9	-2.53510324787829289E2
6.01250000000000018E9	-2.53500907643093765E2
6.01255000000000006E9	-2.53491485079856904E2
6.01259999999999994E9	-2.53482057098202462E2
6.01264999999999983E9	-2.53472623698209265E2
6.01269999999999971E9	-2.53463184879953163E2
6.01274999999999959E9	-2.53453740643505432E2
6.01280000000000037E9	-2.53444290988934018E2
6.01285000000000114E9	-2.53434835916302337E2
6.01290000000000013E9	-2.53425375425670518E2
6.01294999999999913E9	-2.53415909517093851E2
6.01299999999999990E9	-2.53406438190624739E2
6.01305000000000067E9	-2.53396961446311453E2
6.01310000000000056E9	-2.53387479284197648E2
6.01314999999999955E9	-2.53377991704323779E2
6.01319999999999943E9	-2.53368498706726086E2
6.01325000000000109E9	-2.53359000291436942E2
6.01330000000000009E9	-2.53349496458484413E2
6.01335000000000086E9	-2.53339987207893902E2
6.01339999999999897E9	-2.53330472539685658E2
6.01345000000000063E9	-2.53320952453876513E2
6.01350000000000051E9	-2.53311426950479168E2
6.01355000000000040E9	-2.53301896029502682E2
6.01360000000000028E9	-2.53292359690952074E2
6.01365000000000016E9	-2.53282817934828364E2
6.01370000000000005E9	-2.53273270761128710E2
6.01374999999999993E9	-2.53263718169847030E2
6.01379999999999981E9	-2.53254160160972308E2
6.01384999999999970E9	-2.53244596734490202E2
6.01389999999999958E9	-2.53235027890382236E2
6.01394999999999946E9	-2.53225453628626340E2
6.01400000000000023E9	-2.53215873949196268E2
6.01404999999999923E9	-2.53206288852061956E2
6.01410000000000089E9	-2.53196698337189341E2
6.01414999999999900E9	-2.53187102404540942E2
6.01419999999999977E9	-2.53177501054074972E2
6.01424999999999965E9	-2.53167894285745732E2
6.01430000000000042E9	-2.53158282099503662E2
6.01435000000000031E9	-2.53148664495295561E2
6.01439999999999930E9	-2.53139041473064008E2
6.01444999999999919E9	-2.53129413032747719E2
6.01449999999999996E9	-2.53119779174282078E2
6.01455000000000073E9	-2.53110139897597941E2
6.01459999999999972E9	-2.53100495202622522E2
6.01464999999999872E9	-2.53090845089279215E2
6.01470000000000038E9	-2.53081189557487152E2
6.01475000000000026E9	-2.53071528607162310E2
6.01480000000000015E9	-2.53061862238216140E2
6.01485000000000003E9	-2.53052190450556136E2
6.01489999999999991E9	-2.53042513244086953E2
6.01495000000000068E9	-2.53032830618708093E2
6.01499999999999968E9	-2.53023142574315907E2
6.01505000000000045E9	-2.53013449110802702E2
6.01509999999999945E9	-2.53003750228056790E2
6.01515000000000022E9	-2.52994045925962885E2
6.01520000000000010E9	-2.52984336204401172E2
6.01524999999999999E9	-2.52974621063249216E2
6.01529999999999987E9	-2.52964900502379431E2
6.01535000000000064E9	-2.52955174521661297E2
6.01539999999999964E9	-2.52945443120959634E2
6.01544999999999952E9	-2.52935706300135887E2
6.01549999999999940E9	-2.52925964059047548E2
6.01555000000000017E9	-2.52916216397548110E2
6.01560000000000095E9	-2.52906463315487340E2
6.01564999999999905E9	-2.52896704812711270E2
6.01569999999999983E9	-2.52886940889061762E2
6.01575000000000060E9	-2.52877171544377033E2
6.01580000000000048E9	-2.52867396778491349E2
6.01585000000000036E9	-2.52857616591235068E2
6.01589999999999936E9	-2.52847830982434907E2
