RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
ND_RV_01,20001,20070806,100,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.3135,72.8871,32,0,-1,EL_PLN/LW_PLN,6,,DRY/MST,NAT,4,SND,3.25,Y,Y,Y,1,1,34,10,0,10,51,0,0,0,0,0,30,57,0,0,0,0,0,0,,,800,50,10,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_02,20002,20070806,100,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31323333,72.88795,28,0,-1,EL_PLN/LW_PLN,6,,DRY/MST,NAT,4,SND,3.71,Y,Y,Y,1,1,27,10,0,10,50,0,0,0,0,0,30,54,0,0,0,0,0,4,,,1000,50,10,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_03,20003,20070806,100,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31351667,72.8879,18,0,-1,EL_PLN/LW_PLN,6,,DRY/MST,NAT,2,SND,3.36,Y,Y,Y,1,1,17,7,0,7,41,0,0,0,0,0,15,93,0,0,0,0,0,4,,,900,60,12,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_04,20004,20070806,100,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31385,72.88768333,27,0,-1,EL_PLN/LW_PLN,6,,DRY/MST,NAT,3,SND,3.54,Y,Y,Y,1,1,14,10,0,10,39,0,0,0,0,0,15,92,0,0,0,0,0,2,,,1100,50,10,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_05,20005,20070806,100,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31356667,72.88856667,26,0,-1,EL_PLN/LW_PLN,6,,DRY/MST,NAT,4,SND,3.39,Y,Y,Y,1,1,18,1,0,1,48,0,0,0,0,0,16,63,0,0,0,0,0,0,,,1100,45,10,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_06,20006,20070808,1,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31471667,72.86171667,23,0,-1,EL_PLN/LW_PLN,6,,MST,NAT,40,LOM,999,Y,Y,Y,1,1,0,0,0,0,0,16,0.1,0.1,0,0,0.2,60,0,0,0,0,0,1,,,0,15,0,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_07,20007,20070808,1,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31438333,72.86158333,22,0,-1,EL_PLN/LW_PLN,6,,MST,NAT,40,LOM,999,Y,Y,Y,1,1,0,0,0,0,5,22,0.1,0,1,0,75,20,0,0,0,0,0,1,,,0,15,0,1,"Eurasia Arctic Transect, plot environmental data."
ND_RV_08,20008,20070808,1,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.3148,72.86308333,23,0,-1,EL_PLN/LW_PLN,6,,MST,NAT,2,LOM,3.43,Y,Y,Y,1,1,0,0,0,0,20,25,0.1,0,0,0,0.2,30,0,0,0,0,0,1,,,0,15,0,0,"Eurasia Arctic Transect, plot environmental data."
ND_RV_09,20009,20070808,1,S,BB,N,R,,,,,Donald Walker,,,,,,FT,RU,EAT,012,Nadym,,,Y,GPS,,65.31473333,72.8617,21,0,-1,EL_PLN/LW_PLN,6,,MST,NAT,25,LOM,999,Y,Y,Y,1,1,0,0,0,0,0,3,0.1,0,0,0,0.1,100,0,0,0,0,0,0,,,0,10,10,0,"Eurasia Arctic Transect, plot environmental data."
