Supporting Information Appendix S4. Eurasia Arctic Transect species cover-abundance data.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nomenclature for vascular plants follows the PanArctic Species List (Raynolds et al. 2013, CAFF Proceedings Series Report Nr. 10), which is a compiliation that includes the  checklist for the vascular plants: Elven et al. 2007: Checklist of the Panarctic Flora (PAF).  -Draft. University of Oslo. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lichens followed H. Kristinsson & M. Zhurbenko 2006: Panarctic lichen checklist (http://archive.arcticportal.org/276/01/Panarctic_lichen_checklist.pdf). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mosses followed M.S. Ignatov, O.M. Afonina & E.A. Ignatova 2006: Check-list of mosses of East Europe and North Asia. Arctoa 15: 1-130.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverworts followed N.A. Konstantinova & A.D. Potemkin 1996: Liverworts of Russian Arctic: an annotated check-list and bibliography. Arctoa 6: 125-150. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cover-abundance scores: r = rare, + = <0.1% cover, 1 = 1-5%, 2 = 6-25%, 3 = 26-50% 4 = 51-75%, 5 = 76-100%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key to Plant Growth Form Codes is at the bottom of the table.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aava_eat_dwalker_2011_spp_modsrc.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Eurasia Arctic Transect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Donald A. (Skip) Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
