RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,289,14.08.1931,600,N,Drude,N,,O,,,Typical lichen tundra,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Headwaters of Ikcha river,,,,,,,,,,,FOOT,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,4,1,N,0,0.01,0.01,96,N,N,0,0,N,0,100,,,,,3 (4),
,71,12.08.1928,10000,N,Drude,25,,O,,,Cladonia alpestris – Empetrum nigrum.,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Environs of river Belaia,,,,,,,,,,,EL_PLN,,,DRY,NAT,,SND/GRV,,,,,5,5,0,0,0,0,0,22,0.5,N,0,0,0.5,63,N,N,1,0,N,15 (20),75 (80),,,,,5,
,61,7.08.1928,5000,N,Drude,N,,O,,,C. alpestris – Empetrum nigrum (c Festuca),A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Highest part of plato near river Belaia,,,,,,,,,,,CRST,,,DRY,DIS,,SND/GRV,,,,,5,5,0,0,0,0,0,30 (40),20,N,0.01,0,10,45,N,N,1,0,N,0,100,,,,,,
,326,21.08.1931,200,N,Drude,N,,O,,,Cladonia silvatica – Empetrum nigrum.,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Soi`ma river ,,,,,,,,,,,SHLD,,,DRY,NAT,,SND/LOM,,,,,5,5,0,0,0,0,0,25,1,N,0,0.5,0.5,75,N,N,0,0,N,0,100,,,,,6,
,65,8.08.1928,25000,N,Drude,N,,O,,,Certaria nivalis – Empetrum nigrum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,istoki river Shchuch`ei`,,,,,,,,,,,BACK,,,DRY,NAT,,GRV,,,,,5,5,0,0,0,0,0,20 (25),0.5,N,0.01,0,2 (3),60,N,N,25,0,N,0,75,,,,,,
,394,31.08.1931,10000,N,Drude,N,,O,,,Certaria nivalis – Empetrum nigrum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Mohovaia river ,,,,,,,,,,,EL_PLN,,,DRY,DIS,,SND/LOM,,,,,5,5,0,0,0,0,0,40,1,N,0,0,5,55,N,N,0,0,N,0,100,,,,,,
,64,8.08.1928,,N,Drude,N,,O,,,Stereocaulon paschale – Betula nana,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Volonga river ,,,,,,,,,,,EL_PLN,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,35,0.5,N,0.5,0,0.1,65,N,N,0,0,N,0,100,,,,,,
,141,7.08.1930,450,N,Drude,N,,O,,,Stereocaulon paschale – Empetrum nigrum,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,Tartcui` hill(Malozemel`skaia tundra),,,,,,,,,,,BACK,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,30,0.1,N,0.5,0.1,0.5,60,N,N,0,0,N,0,100,,,,,,
,374,30.08.1931,1500,N,Drude,N,,O,,,Cladonia alpestris – Polytrichum commune,A. Dedov,,,,,,,RU,Dedov's_historical_data,Kanin-Pechora,"Khvostovaia river, not so far from mouth of Torbei`skaya stream",,,,,,,,,,,FOOT,,,DRY,NAT,,SND,,,,,5,5,0,0,0,0,0,10 (20),0.1,N,0.1,0.1,30,60 (65),N,N,0,0,N,0,100,,,,,,
