RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
20674,PB43,20150726,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,1,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52966667,57.31583333,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,25,,,,,,,,,,,,25,,,,,,
20675,KhB122,20150808,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,2,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.35319444,59.881,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,90,,,,,,,,,,10,,90,,,,,,
20676,PB42,20150726,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,3,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52875,57.31622222,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,40,,,,,,,,,,,,40,,,,,,
20677,BD62,20160721,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,4,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.43861111,55.07694444,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,70,,,,,,,,,,,,70,,,,,,
20678,KhB139,20150811,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,5,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.31741667,59.68930556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,60,,,,,,,,,,,,60,,,,,,
20679,PB64,20150728,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,LAVR,1,1,6,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.50930556,57.30361111,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,70,,,,,,,,,,,,70,,,,,,
20680,PB41,20150726,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,7,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52797222,57.31658333,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,60,,,,,,,,,,,,60,,,,,,
20681,KhB138,20150811,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,8,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.31525,59.69030556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,70,,,,,,,,30,,,,70,,,,,,
20682,PB44,20150726,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,9,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52833333,57.31819444,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,95,,,,,,,,,,,,95,,,,,,
20683,KhB119,20150808,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,10,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.35405556,59.885,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,90,,,,,,,,10,,,,90,,,,,,
20684,KhB123,20150808,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,11,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.35330556,59.88175,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20685,BD43,20160718,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,12,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.42872222,55.11255556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20686,BD51,20160720,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,13,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.43152778,55.10638889,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,70,,,,5,,,,,,,,75,,,,,,
20687,PB46,20150726,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,14,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52777778,57.3205,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20688,Kh15,20160710,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,15,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.32063889,54.88466667,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,90,,,,1,,,,,,,,90,,,,,,
20689,PB65,20150728,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,16,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.509,57.30369444,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20690,BD44,20160718,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,17,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.42866667,55.11247222,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20691,BD52,20160720,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,18,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.43155556,55.10597222,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,90,,,,15,,,,,,,,100,,,,,,
20692,BD61,20160721,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,19,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.43872222,55.07736111,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20693,Kh17,20160710,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,20,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.31897222,54.89222222,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20694,KhB134,20150811,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,21,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.31686111,59.69408333,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,,,,,,,,,100,,,,,,
20695,PB66,20150728,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,22,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.50886111,57.30430556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,98,,,,1,,,,2,,,,98,,,,,,
20696,BD74,20160724,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,23,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.43605556,55.07291667,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,90,,,,,,,,,,,,99,,,,,,
20697,PB68,20150728,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,24,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.50869444,57.30558333,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,5,,,,,,,,100,,,,,,
20698,PB47,20150726,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,25,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.52191667,57.31305556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,100,,,,1,,,,,,,,100,,,,,,
20699,KhB121,20150808,25,,2,,,,,B-B,Caricetum subspathaceae Hada? 1946,LAVR,1,1,26,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.35408333,59.8855,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,95,,,,5,,,,2,,,,98,,,,,,
20700,PB84,20150801,25,,2,,,,,B-B,Caricetum glareosae Molenaar 1974 ,LAVR,1,2,1,,,,RU,Bolshezemelskaya Tundra,,,,,,,,68.51591667,57.33180556,,,,,,,,,,,,Y,,Y,1,1,0,,,,,,99,,,,,,,,1,,,,99,,,,,,
