RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G1-1,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22011111,79.27208333,,0,FLT,CRST,,,DRY,DIS,5,LOM,,Y,N,Y,1,3,0,3,0,3,0,45,15,0,0,0,90,70,5,0,0.1,0,0,0.1,95,,,,,,
,G1-4,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22080556,79.27183333,,25,230,BACK,,,MOIST,NAT,3,LOM,,Y,N,Y,1,3,0,50,0,50,30,20,5,0,2,5,100,10,0,0,0,0,0,50,100,,,,,,
,G1-5,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22088889,79.27183333,,0,FLT,CRST,,,MOIST,NAT,3,LOM,,Y,N,Y,1,3,0,10,0,10,0,65,10,0,1,0,80,20,0,0,0,0,0,15,100,,,,,,
,G1-10,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22208333,79.27291667,,15,210,BACK,,,MOIST,NAT,1.5,LOM,,Y,N,Y,1,3,0,70,0,70,10,45,5,0,0.1,3,100,10,0.1,0,0,0,0,15,100,,,,,,
,G1-11,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22219444,79.27291667,,5,180,SHLD,,,MOIST,NAT,5,LOM,,Y,N,Y,1,3,0,40,0,40,5,30,10,0,1,20,100,5,0,0,0,0,0,80,100,,,,,,
,G1-14,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22288889,79.27411111,,0,FLT,FOOT,,,N,NAT,,-,,Y,N,Y,1,3,0,0,0,0,0,0,20,0,0.1,0,0,0,0,0,0,0,15,80,85,,,,,,
,G1-16,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22341667,79.2745,,15,170,BACK,,,DRY,NAT,4,LOM,,Y,N,Y,1,3,0,40,0,40,30,60,10,0,0.1,10,60,40,0.1,0,0,0,0,15,100,,,,,,
,G1-17,7/10/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.2235,79.27505556,,5,170,FOOT,,,DRY,NAT,3,LOM,,Y,N,Y,1,3,0,0,0,25,10,20,15,0,1,15,100,3,0.1,0,0,0,0,25,100,,,,,,
,G1-19,7/11/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22447222,79.27652778,,3,190,SHLD,,,DRY,NAT,5,LOM,,Y,N,Y,1,3,0,20,0,20,0.1,30,30,8,1,0,99,10,1,0,0,0,0,20,99,,,,,,
,G1-22,7/11/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22613889,79.27633333,,5,250,FOOT,,,N,NAT,15,-,,Y,N,Y,1,3,0,60,0,60,1,15,0.1,0,5,0,95,1,0,0,0,0,5,50,95,,,,,,
,G1-25,7/11/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22677778,79.27583333,,3,190,BACK,,,DRY,NAT,7,LOM,,Y,N,Y,1,3,0,45,0,45,0,15,35,20,1,0,100,5,0,0,0,0,0,50,100,,,,,,
,G1-27,7/11/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22761111,79.27513889,,2,230,BACK,,,N,NAT,10,-,,Y,N,Y,1,3,0,50,0,50,0,10,0.1,0,1,0,100,2,0,0,0,0,0,30,100,,,,,,
,G1-29,7/11/2017,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22886111,79.27405556,,2,190,BACK,,,N,NAT,17,-,,Y,N,Y,1,3,0,20,0,20,0.1,20,35,25,0.1,0,75,5,0,0,0,0,0,40,100,,,,,,
