RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G1-1,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22041667,79.27194444,16,0,FLT,EL_PLN,,,MOIST,NAT,,LOM,,Y,Y,Y,1,1,0,,,,,,,,,,30,20,,,,,,,100,,0,,7,,
,G1-3,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.2205,79.27177778,16,16,0,BACK,,,N,NAT,,LOM,,Y,Y,Y,1,1,0,,,,,,,,,,40,10,,,,,,,100,,0,,35,,
,G1-6,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22097222,79.27188889,25,15,0,BACK,,,N,NAT,,LOM,,Y,Y,Y,1,1,0,,,,,,,,,,40,18,,,,,,,100,,0,,10,,
,G1-7,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22119444,79.27225,16,22,225,BACK,,,N,NAT,,ORG,,Y,Y,Y,1,1,0,,,,,,,,,,15,20,,,,,,,100,,0,,12,,
,G1-8,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22147222,79.27252778,17,0,FLT,SHLD,,,N,DIST,,LOM,,Y,Y,Y,1,1,0,,,,,,,,,,20,40,,,35,,,,65,,0,0,7,,
,G1-9,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22166667,79.27261111,17,25,360,BACK,,,N,NAT,,SND,,Y,Y,Y,1,1,0,,,,,,,,,,15,12,,,,,,,90,,0,0,15,,
,G1-12,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22236111,79.27302778,12,0,FLT,LW_PLN,,,WET,NAT,4,ORG,,Y,Y,Y,1,1,0,,,,,,,,,,40,8,,,,,,,100,,0,,30,,
,G1-13,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22225,79.27297222,9,15,360,BACK,,,N,NAT,3,ORG,,Y,Y,Y,1,1,0,,,,,,,,,,40,2,,,,,,,100,,0,,20,,
,G1-15,20170709,,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,G1_Yambuto_lake,24,,,,Y,GPS,5,71.22230556,79.27280556,7,3,180,FOOT,,,WET,NAT,5,ORG,,Y,Y,Y,1,1,0,,,,,,,,,,40,1,,,,,,,0,,0,,12,,
