RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G2-2,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90922222,78.66338889,,3,230,FOOT,,,MOIST,NAT,4,LOM,,Y,N,Y,1,3,0,25,0,25,0,60,10,0,10,15,100,12,0,0,0,0,0,30,100,,,,,,
,G2-4,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90822222,78.6625,,10,230,BACK,,,MOIST,NAT,3,LOM,,Y,N,Y,1,3,0,0.1,0,0.1,0,70,15,1,5,0,100,20,0.1,0,0,0,0,40,100,,,,,,
,G2-6,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90719444,78.66219444,,15,180,BACK,,,WET,DIST,3,LOM,,Y,N,Y,1,3,0,5,0,5,0,20,10,0,10,30,100,0.1,0,0,0,0,0,90,100,,,,,,
,G2-8,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90680556,78.66175,,0,FLT,BACK,,,AQU,NAT,-,ORG,,Y,N,Y,1,3,0,0,0,0,0,0,20,0,20,0,50,0,0,0,0,0,1,90,99,,,,,,
,G2-11,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90630556,78.661,,1,360,FOOT,,,MOIST,NAT,5,LOM,,Y,N,Y,1,3,0,25,0,25,0,10,20,0,10,5,100,0,0,0,0,0,0,60,100,,,,,,
,G2-12,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90583333,78.66083333,,10,360,BACK,,,MOIST,NAT,3,LOM,,Y,N,Y,1,3,0,5,0,5,0,20,5,0,40,15,100,40,0,0,0,0,0,40,100,,,,,,
,G2-14,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90558333,78.66013889,,2,270,SHLD,,,DRY,NAT,10,LOM,,Y,N,Y,1,3,0,0,0,0,0,70,30,0,1,0,90,10,10,0,0.1,0,0,15,90,,,,,,
,G2-16,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90491667,78.65763889,,0,FLT,BACK,,,AQU,NAT,,ORG,,Y,N,Y,1,3,0,0,0,0,0,0,50,0,5,0,10,0,0,0,0,0,100,90,90,,,,,,
,G2-17,42936,,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,G2_Northern_Gydan,24,,,,Y,GPS,5,71.90438889,78.65647222,,5,300,BACK,,,MOIST,NAT,5,LOM,,Y,N,Y,1,3,0,5,0,5,0,40,10,0,10,30,100,15,0,0,0,0,0,30,100,,,,,,
