RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G2-1,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.91058333,78.66444444,12,5,360,,LW_PLN,,WET,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,70,0,,,,0,0,,100,,0,,25,,
,G2-3,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90861111,78.66236111,22,7,360,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,60,12,,,,0,0,,100,,0,0,12,,
,G2-5,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90763889,78.66211111,24,10,180,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,80,5,,,,0,0,,100,,0,,10,,
,G2-7,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90711111,78.66155556,24,20,180,,BACK,,N,NAT,,LOM,,Y,Y,Y,1,1,,,,,,,,,,,2,3,,,,0,0,,100,,0,0,10,,
,G2-9,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90708333,78.66277778,21,17,360,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,20,12,,,,0,0,,100,,0,,22,,
,G2-10,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.907,78.66313889,21,15,180,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,30,10,,,,0,0,,100,,0,,0,,
,G2-13,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90561111,78.66088889,23,10,180,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,60,7,,,,0,0,,100,,0,,15,,
,G2-15,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90502778,78.65869444,16,10,135,,BACK,,N,NAT,,ORG,,Y,Y,Y,1,1,,,,,,,,,,,35,8,,,,0,0,,100,,0,,15,,
,G2-18,20170720,,,00,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,gava2_mtelyatnikov,024,,,,Y,GPS,5,71.90383333,78.65591667,21,10,75,,BACK,,N,NAT,,LOM,,Y,Y,Y,1,1,,,,,,,,,,,20,10,,,,0,0,,60,,0,0,20,,
