RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G3-1,20170710,30,R,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.97176,78.80201,21,0,FLT,RIPZN,,,WET,NAT,5,ORG,,Y,N,Y,1,3,0,15,0,15,8,0,2,0,0.5,0,90,20,0,0,0,0,0,5,100,15,0,20,0,3,
,G3-2,20170710,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.97171,78.80209,20,0,FLT,EL_PLN,,,MOIST,NAT,5,SND,,Y,N,Y,1,3,0,15,0,5,12,0,8,0,0.5,0,5,90,+,+,0,0,0,5,100,15,0,15,0,1,
,G3-3,20170710,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.97146,78.80163,21,0,FLT,RIPZN,,,AQU,NAT,5,ORG,,Y,N,Y,1,3,0,1,0,1,0,0,40,0,1,0,40,0,0,0,3,0,2,70,95,40,0,10,40,0.5,
,G3-4,20170710,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.97057,78.80156,20,0,FLT,CRST,,,MOIST,NAT,1,SND,,Y,N,Y,1,3,0,25,0,10,18,1,7,0,0,0.01,20,60,30,0,1,0,0,1,99,5,0,5,10,1,
,G3-5,20170710,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.9703,78.80093,20,0,FLT,RIPZN,,,AQU,NAT,5,ORG,,Y,N,Y,1,3,0,0,0,0,0,0,50,0,0.5,0,7,0,0,0,0,0,20,60,80,15,0,0,15,1,
,G3-6,20170711,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.96991,78.80059,16,0,FLT,CRST,,,MOIST,NAT,1,SND,,Y,N,Y,1,3,0,20,0,8,15,0,3,1,0.01,0,20,65,20,0,2,0,0,1,98,5,0,5,5,1,
,G3-7,20170711,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.96949,78.80037,15,0,FLT,LW_PLN,,,MOIST,NAT,10,ORG,,Y,N,Y,1,3,0,15,0,15,5,0,45,5,1,0,45,5,0,0,0,0,0,60,100,20,0,20,20,5,
,G3-8,20170711,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.96926,78.8,15,1,180,LW_PLN,,,MOIST,NAT,3,ORG,,Y,N,Y,1,3,0,20,0,5,15,0,0,30,30,0,80,20,0,0,0,0,0,15,100,20,0,15,5,8,
,G3-9,20170711,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G3_Tanama_river,24,,,,Y,GPS,5,69.96883,78.79965,17,0,180,LW_PLN,,,AQU,NAT,10,ORG,,Y,N,Y,1,3,0,0,0,0,0,0,45,0,0,0,25,0,0,0,0,0,10,60,90,20,0,0,20,1,
