RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,G4-105,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09009,75.58218,19,5,157,RIPZN,,,DRY,NAT,0,SND,,Y,N,Y,1,3,0,3,3,0,0,0,20,0,10,0,0,0,0,0,70,0,0,2,30,25,0,70,20,0,
,G4-106,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09029,75.58196,22,0,FLT,LW_PLN,,,MOIST,NAT,3,ORG,,Y,N,Y,1,3,0,40,40,0,0,0,30,0,15,0,60,0,0,0,5,0,0,40,95,60,0,60,45,2,
,G4-107,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09055,75.58183,24,2,112,FOOT,,,DRY,NAT,1,SND,,Y,N,Y,1,3,0,10,0,10,10,30,3,0,1,0.01,30,40,20,0,2,0,0,1,98,2,0,3,20,1,
,G4-108,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.0909,75.58152,20,2,157,BACK,,,MOIST,DIS,1,ORG,,Y,N,Y,1,3,0,10,0,10,30,1,20,0,0.5,0,40,75,10,0,0,0,0,10,100,5,0,15,20,1,
,G4-109,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09119,75.58133,21,3,157,BACK,,,MOIST,NAT,4,ORG,,Y,N,Y,1,3,0,2,0,2,10,0,75,70,10,0,80,5,0,0,0,0,0,40,100,10,0,10,5,4,
,G4-110,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09128,75.58129,20,0,FLT,FOOT,,,AQU,NAT,5,ORG,,Y,N,Y,1,3,0,15,0,15,10,0,30,0,1,0,80,0,0,10,0,0,0,30,100,15,0,15,30,4,
,G4-111,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09196,75.58109,25,2,135,BACK,,,DRY,DIS,2,SND,,Y,N,Y,1,3,0,0,0,0,15,1,3,0,1,0.01,30,70,20,0,2,0,0,0,98,5,0,5,15,3,
,G4-112,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.0939,75.58002,24,1,315,CRST,,,DRY,DIS,1,ORG,,Y,N,Y,1,3,0,15,0,15,45,0.1,2,0,0.1,0,10,80,0,0,0,0,0,0,100,5,0,5,15,0.5,
,G4-113,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09475,75.57962,24,1,315,CRST,,,DRY,DIS,1,ORG,,Y,N,Y,1,3,0,8,0,8,12,3,5,0,0,0,20,90,20,0,5,0,0,0,95,5,0,5,15,1,
,G4-114,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09583,75.57915,24,1,315,BACK,,,WET,NAT,4,ORG,,Y,N,Y,1,3,0,1,0,1,4,0,70,3,1,0,60,1,0,0,0,0,0,45,100,30,0,25,30,4,
,G4-115,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09629,75.57903,24,1,338,BACK,,,MOIST,NAT,4,ORG,,Y,N,Y,1,3,0,15,0,15,15,0,20,1,0.1,0.01,40,70,0,0,0,0,0,10,100,30,0,5,30,4,
,G4-116,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09655,75.57889,22,0,FLT,FOOT,,,MOIST,NAT,4,ORG,,Y,N,Y,1,3,0,0,0,0,15,0,30,0,0,0,40,0,0,0,0,0,0,20,100,25,0,10,25,4,
,G4-117,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09733,75.57846,23,0,FLT,FOOT,,,WET,NAT,8,ORG,,Y,N,Y,1,3,0,15,0,15,9,0,80,80,3,0,90,1,0,0,0,0,0,20,100,20,0,15,20,8,
,G4-118,20170721,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.09842,75.57787,22,5,338,SHLD,,,WET,NAT,10,ORG,,Y,N,Y,1,3,0,60,0,60,3,0,10,0,0,0,100,3,0,0,0,0,0,5,100,20,0,20,20,8,
,G4-119,20170722,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.10085,75.61066,24,2,292,FOOT,,,WET,NAT,4,ORG,,Y,N,Y,1,3,0,3,0,3,3,10,30,0,10,0.01,98,50,0,0,0,0,0,10,100,10,0,20,10,4,
,G4-120,20170722,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.10076,75.61083,25,5,292,BACK,,,DRY,NAT,3,SND,,Y,N,Y,1,3,0,1,0,1,1,2,13,0,3,0.01,80,30,20,0,2,0,0,5,98,10,0,15,10,4,
,G4-121,20170722,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.10066,75.61136,25,10,292,SHLD,,,DRY,NAT,3,SND,,Y,N,Y,1,3,0,50,0,50,1,1,10,0,0.1,0,50,30,5,0,3,0,0,15,97,15,0,15,10,3,
,G4-122,20170722,100,S,0,1,N,R,,,,O. Khitun,,,,,,D,RU,G4_Parisento_lake,24,,,,Y,GPS,5,70.10049,75.6121,30,3,292,BACK,,,MOIST,NAT,4,ORG,,Y,N,Y,1,3,0,1,0,1,12,0,80,50,1,0,80,10,0,0,0,0,0,50,100,15,0,15,10,4,
