RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,6001,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63605556,147.8648333,37,5,270,EL_PLN,,,,,,LOM,,Y,N,Y,1,3,0,20,0,20,20,,,,,,50,65,,,,,,,,,0,15,,,
,6002,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63794444,147.8563333,31,5-7*,270,EL_PLN,,,,,,LOM,,Y,N,Y,1,3,0,30,0,30,15,,,,,,50,25,,,,,,,,,0,30,,,
,6003,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63844444,147.8461111,20,8-10 (12)*,270,EL_PLN,,,,,,LOM,,Y,N,Y,1,3,0,,0,,,,,,,,,,,,,,,,,,0,,,,
,6004,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63819444,147.8458611,11,,248,FOOT,,,,,,LOM,,Y,N,Y,1,3,0,25,0,25,10,,,,,,60,25,,,,,,,,,0,25,,,
,6005,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63761111,147.8390278,6,8-12*,180,BACK,,,,,,LOM,,Y,N,Y,1,3,0,30,0,30,20,,,,,,30,20,,,,,,,,,0,30-100,,,
,6006,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63775,147.8346389,28,7-9*,180,BACK,,,,,,LOM,,Y,N,Y,1,3,0,,0,,,,,,,,,,,,,,,,,,0,,,,
,6007,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,Y,GPS,5,70.63344444,147.8241944,15,7-8*,180,BACK,,,,,,LOM,,Y,N,Y,1,3,0,40,0,40,25,,,,,,75,35,,,,,,,,,0,120,,,
,6008,2013.07.12,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,N,,,,,,0,-1,,,,AQU,,,ORG,,Y,N,Y,1,3,0,2,0,2,0,,,,,,10,0,,,,,,,,,0,15,,,
,6009,2013.07.14,100,,0,N,R,,,,,Mikhail Telyatnikov and Elena Troeva,,,,,,,RU,Indigirka,"Chokurdah, Sakha",,,,N,,,,,,0,-1,,,,,,,ORG,,Y,N,Y,1,3,0,20,0,20,8,,,,,,75,0,,,,,,,,,0,30,,,
