AVARU_Kola_peninsula_Floodplains_NKoroleva_1930-2016_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Kola peninsula dataset (floodplains),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Natalia Koroleva and Ekaterina Kopeina (historical data from R. Kalliola incl.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: N. E. Koroleva, E. I. Kopeina. (2018). The floodplain meadows of class Molinio-Arrhenatheretea Tx. 1937 in the Varzuga River valley (Murmansk Region). Rastitelnost Rossii, 34. https://doi.org/10.31111/vegrus/2018.34.85 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Species Cover Data for Kola peninsula dataset (floodplains),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Species cover classes are the Braun-Blanquet cover-abundance scale. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,184--13,186--13,75?--13,76--13,81--13,117--13,100--13,85--13,86--13,98--13,94--13,97--13,203--15,87--13,91--13,121--13,137A--13,137B--13,129--13,150--13,111--13,113--13,126--13,107--13,108--13,109--13,110--13,124--13,130--13,105--13,123--13,154--13,134--13,135--13,136--13,207--15,88--13,115--13,90--13,101--13,167--13,164--13,163--13,165--13,166--13
,,TURBOVEG PLOT NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abietinella abietina,Abietinella abietina (Hedw.) Fleisch.,Abietinella abietina,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achillea millefolium,Achillea millefolium L.,Achillea millefolium,+,+,+,+,+,+,0,+,+,+,+,+,+,+,+,1,+,+,+,+,0,+,+,+,+,+,+,+,+,+,1,+,+,+,0,0,+,+,+,+,0,+,0,+,+
Agrostis straminea,Agrostis stolonifera s. straminea (Hartm.) Tzvelev,Agrostis straminea,0,+,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrostis tenuis,Agrostis capillaris L.,Agrostis tenuis,2,2,0,0,0,+,0,1,0,+,3,+,2,2,+,2,+,+,+,1,0,0,2,0,0,+,0,+,1,2,+,+,0,0,0,+,0,0,0,0,0,0,0,0,0
Alchemilla species,Alchemilla species ,Alchemilla species,+,0,0,0,0,0,0,0,+,0,0,0,0,+,+,+,0,0,0,0,0,+,0,+,+,0,+,+,+,1,+,0,+,+,+,0,0,+,+,0,0,0,0,0,0
Allium schoenoprasum,Allium schoenoprasum L.,Allium schoenoprasum,0,+,0,0,0,0,0,0,0,0,+,0,0,0,0,0,+,+,0,0,0,+,0,0,0,0,0,0,0,0,0,0,0,0,+,+,0,0,0,0,0,0,+,0,0
Alopecurus arundinaceus,Alopecurus arundinaceus Poir.,Alopecurus arundinaceus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,0,+,0,0,0,3,4,0,0
Amoria repens,Trifolium repens L.,Amoria repens,+,+,+,+,0,+,+,+,0,0,+,+,+,0,0,+,+,+,0,+,0,0,+,0,+,0,0,+,+,+,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0
