RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,184--13,03.07.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.41176667,36.55733333,,,,,,,,,,,,Y,,Y,1,1,0,2,0,2,,,,,,,0,0,,,,,,,65,,,,,,65
,186--13,03.07.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.41051667,36.5678,,,,,,,,,,,,Y,,Y,1,1,0,1,0,1,,,,,,,0,0,,,,,,,80,,,,,,80
,75?--13,24.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Tonkoviy island, close to Varzuga village",,,Y,GPS,5,66.39883333,36.58395,,,,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0.05,0,,,,,,,60,,,,,,60
,76--13,24.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Tonkoviy island, close to Varzuga village",,,Y,GPS,5,66.39883333,36.58395,,,,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0.05,0,,,,,,,50,,,,,,50
,81--13,24.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.39626667,36.58111667,,,,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,1,1,,,,,,,75,,,,,,75
,117--13,25.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.40561667,36.63208333,,,,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,0,0,,,,,,,70,,,,,,70
,100--13,25.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,Tolsty island,,,Y,GPS,5,66.40545,36.5703,,,,,,,,,,,,Y,,Y,1,1,0,0.05,0,0.05,,,,,,,0,0,,,,,,,55,,,,,,55
,85--13,25.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.40075,36.56815,,,,,,,,,,,,Y,,Y,1,1,0,5,0,5,,,,,,,5,0.05,,,,,,,85,,,,,,85
,86--13,25.06.2013,100,,B/BBDS,,,R,,B-B,Diantho superbi–Festucetum ovinae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,right bank of Varzuga river,,,Y,GPS,5,66.40088333,36.56795,,,,,,,,,,,,Y,,Y,1,1,0,1,0,1,,,,,,,5,0.05,,,,,,,75,,,,,,75
