RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,140--87,23.07.1987,4,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kukisvumchorr mountain (east),,,Y,,,67.70138889,33.71055556,600,5,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,5,0,,,,,,,100,,,,,,95 (dwarf-shrubs and grasses coverage)
,51--87,30.06.1987,4,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kukisvumchorr mountain (north),,,Y,,,67.70111111,33.70138889,550,5,0,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,30,0,,,,,,,80,,,,,,55
,14--87,23.07.1987,1,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kukisvumchorr mountain (east),,,Y,,,67.70055556,33.70972222,640,15,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0,0,,,,,,,55,,,,,,55
,145--87,23.07.1987,1,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kukisvumchorr mountain (east),,,Y,,,67.70083333,33.70944444,640,5,270,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0,0,,,,,,,55,,,,,,55
,38--89,15.07.1989,4,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kukisvumchorr mountain (north),,,Y,,,67.77555556,33.60583333,500,0,-1,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,0,0,,,,,,,95,,,,,,95
,85--89,02.08.1989,1,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Poachvumchorr mountain,,,Y,,,67.77194444,33.56722222,550,5,45,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,20,5,,,,,,,75,,,,,,75
,17--89a,11.08.1989,4,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Poachvumchorr mountain,,,Y,,,67.77361111,33.78805556,450,0,-1,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,1,0,,,,,,,75,,,,,,75
,151--89,12.08.1989,4,,B/BBDS,,,R,,B-B,Carici bigelowii–Nardetum strictae,Natalia Koroleva,,,,,,,RU,,Kola peninsula,Kaskasnunchorr mountain,,,Y,,,67.76833333,33.78527778,500,5,90,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,1,0.05,,,,,,,95,,,,,,95
,229--91,19.08.1991,4,,B/BBDS,,,R,,B-B,Anthoxantho alpini–Deschampsietum flexuosae,Natalia Koroleva & Ekaterina Kopeina,,,,,,,RU,,Kola peninsula,"Geographers pass, Khibini",,,Y,,,67.65166667,33.60916667,500,3,315,,,,,,,,,Y,,Y,1,1,0,0,0,0,,,,,,,5,0.05,,,,,,,100,,,,,,100
