RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER HERBS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_HERBS ,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
20810,D62,20010812,25,,2,,,,,B-B,,OL,41,4,1,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82083333,54.25638889,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20811,T55,20020718,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954 ,OL,41,4,3,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,10,,,10,,,,,,,,,,,,10,,,,,,
20812,T42,20020716,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954 ,OL,41,4,4,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,50,,,50,,,,,,,,,,,,50,,,,,,
20813,2g,20010806,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,NM,41,4,5,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83841667,53.97372222,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20814,T94,20020727,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OL,41,4,6,,,D,RU,Malozemelskaya_tundra,,,,,N,,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,60,,,60,,,,,,,,,,,,60,,,,,,
20815,2v,20010806,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OLNM,41,4,7,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83436111,53.97338889,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20816,103,20010816,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OL,41,4,8,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.93230556,53.77725,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20817,2,20010804,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OLNM,41,4,9,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83044444,53.99433333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,,,,,,,,,90,,,,,,
20818,2a,20010805,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OLNM,41,4,10,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.848,53.90436111,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,90,,,90,,,,,,,,,,,,90,,,,,,
20819,2b,20010805,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OLNM,41,4,11,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.84833333,53.90127778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,95,,,95,,,,,,,,,,,,95,,,,,,
20820,2d,20010806,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OLNM,41,4,12,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83888889,53.975,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,95,,,95,,,,,,,,,,,,95,,,,,,
20821,90,20010813,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954,OL,41,4,13,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.85466667,53.64125,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20822,TN30,20070713,25,,2,,,,,B-B,Scirpeto-Hippuridetum tetraphyllae Nordh. 1954, LAVR,41,4,14,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68522222,53.82783333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20823,TN29,20070713,25,,2,,,,,B-B,Dupontia psilosantha com. type, LAVR,41,4,15,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.68522222,53.82783333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,,,,,,,,,70,,,,,,
20824,18,20010805,25,,2,,,,,B-B,Dupontia psilosantha com. type,OLNM,41,4,16,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.84833333,53.90108333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20825,58,20010811,25,,2,,,,,B-B,Dupontia psilosantha com. type,OLNM,41,4,17,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83786111,53.97344444,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,,,,,,,,,100,,,,,,
20826,102,20010816,25,,2,,,,,B-B,Dupontia psilosantha com. type,OL,41,4,18,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.93252778,53.77866667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,60,,,,,,,,100,,,,,,
20827,8,20010804,25,,2,,,,,B-B,Dupontia psilosantha com. type,OLNM,41,4,19,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83277778,53.99688889,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,80,,,,,,,,100,,,,,,
20829,T8,20020712,25,,2,,,,,B-B,,OL,41,4,20,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58836111,52.36405556,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,40,,,,,,,,100,,,,,,
20830,D65,20010812,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954 ,OL,41,4,21,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.82183333,54.25075,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,100,,,,,,,,100,,,,,,
20831,T82,20020723,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954 ,OL,41,4,22,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58833333,52.36533333,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,70,,,,,,,,90,,,,,,
20832,T75,20020722,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,23,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.3365,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,90,,,,,,,,100,,,,,,
20833,9,20010804,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OLNM,41,4,24,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83302778,53.99113889,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,100,,,,,,,,100,,,,,,
20834,60,20010811,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OLNM,41,4,25,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83586111,53.97391667,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,100,,,100,,,,90,,,,,,,,100,,,,,,
20835,101,20010816,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,26,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.93216667,53.77969444,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,100,,,,,,,,90,,,,,,
20836,T72,20020721,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,27,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.585,52.32,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,100,,,,,,,,100,,,,,,
20837,T54,20020718,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,28,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,80,,,80,,,,90,,,,,,,,100,,,,,,
20838,T44,20020717,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,29,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,, , ,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,70,,,70,,,,90,,,,,,,,90,,,,,,
20839,T7,20020712,25,,2,,,,,B-B,Caricetum mackenziei Nordh. 1954,OL,41,4,30,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.58819444,52.364,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,60,,,60,,,,30,,,,,,,,90,,,,,,
20840,T85,20020722,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,OL,41,1,1,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.59541667,52.43047222,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,2,,,2,,,,,,,,,,,,20,,,,,,
20841,1,20010804,25,,2,,,,,B-B,Puccinellietum phryganodis Hada? 1946,OLNM,41,1,2,,,D,RU,Malozemelskaya_tundra,,,,,Y,GPS,,68.83147222,53.99502778,,,,,,,,NAT,,,,Y,,Y,1,1,0,,,4,,,4,,,,,,,,,,,,40,,,,,,
