AVARU_Malozemelskaya_tundra_Lavrinenko_O._I._2001_2007_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Arctic Vegetation Archive: Marshes of Malozemelskaya tundra Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Author: Olga Lavrinenko, Nadezhda Matveyeva",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Matveyeva, N. V., and O. V. Lavrinenko. (2011). Marsh vegetation in the north-east of Malozemelskaya tundra. Rastitelnost Rossii, 17–18. https://doi.org/10.31111/vegrus/2011.17-18.45 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Species Cover Data for Marshes of Malozemelskaya tundra Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Notes: Species cover classes are the new Braun-Blanquet cover-abundance scale: r (single), + (less than 1 percent), 1 (1 to 5 percent), 2a (6 to 12 percent), 2b (13 to 25 percent), 3 (26 to 50 percent), 4 (51 to 75 percent), and 5 (76 to 100 percent). Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,D62,T55,T42,2g,T94,2v,103,2,2a,2b,2d,90,TN30,TN29,18,58,102,8,T8,D65,T82,T75,9,60,101,T72,T54,T44,T7,T85,1,6,T80,45,T30,T46,T69,T4,T2,32,T58,T73,31,16,T3,TN24a,23,T79,T87,T32,D61,T70,111,91,22,3,30,21,7,17,4,D63,5,T31,T86,T74,TN25,T76,T49,T81,T56,T47,T6,T71,T48,T88,T33,T34,T89,T35,T36,T95,T77,T67,TN27,TN26,24,59,90n,57,100,52,51,46,64,T90,T84,TN28
,,TURBOVEG PLOT NUMBER,20810,20811,20812,20813,20814,20815,20816,20817,20818,20819,20820,20821,20822,20823,20824,20825,20826,20827,20829,20830,20831,20832,20833,20834,20835,20836,20837,20838,20839,20840,20841,20842,20843,20844,20845,20846,20847,20848,20849,20850,20851,20852,20853,20854,20855,20856,20857,20858,20859,20860,20861,20862,20863,20864,20865,20866,20867,20868,20869,20870,20871,20872,20873,20874,20875,20876,20877,20878,20879,20880,20881,20882,20883,20884,20885,20886,20887,20888,20889,20890,20891,20892,20893,20894,20895,20896,20897,20898,20899,20900,20901,20902,20903,20904,20905,20906,20907,20908
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis straminea,Agrostis stolonifera s. straminea (Hartm.) Tzvelev,Agrostis straminea ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,2a,3,1,+,2a,3,2a,2b,3,3,2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,+,+,+,2a,+,2a,r,0,0,0,r
Arctanthemum species,Arctanthemum species,Arctanthemum hultenii ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,+,r,1,2b,+,2a,1,r,+,1,1,r,1,2a,0,2a,0,1,+,2a,+,2a,1,0,1,1,2a,+,1,1,+,r,r,+,r,+,+,r,0,0,0,0,+
Armeria scabra,Armeria scabra Pall. ex Roem. & Schult.,Armeria scabra ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,+,0,0,1,0,0,0
Calamagrostis deschampsioides,Calamagrostis deschampsioides Trin.,Calamagrostis deschampsioides ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,0,+,0,0,0,3,4,4,4,3,4,2b,3,3,3,+,+,2b,2b,r,2b,2a,+,+,+,3,3,1,0,0,0,+,1,1,1,r,0
Calamagrostis neglecta,Calamagrostis neglecta (Ehrh.) P. Gaertn.,Calamagrostis neglecta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+
Carex concolor,Carex concolor R. Br.,Carex concolor ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+,r,2b,+,2b,+,+,2a,2a,0,+,0
Carex glareosa [s. glareosa],Carex glareosa [s. glareosa] Wahlenb. ,Carex glareosa ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0, r,0,+,0,1,0,+,1,0,0,0,0,+,+,2b,2a,1,1,3,2b,3,3,5,4,2b,2b,2b,+,+,+,+,+,3,1,1,1,+,+,0,0,0,+,r,0
Carex rariflora,Carex rariflora (Wahlenb.) Sm.,Carex rariflora ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r,0,0,0,1,+,+,1,1,+,2b,0,0,3,2b,1
