RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUBS (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER DWARF-SHRUBS (%),COVER HERBS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES (%),COVER LICHEN (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS ,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_DSHRUB,COV_HERBS ,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
21037,V41,20040811,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,OL, ,2,1,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.85361111,59.64305556,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,70,,,,70,30,,,,,,,100,,,,,,
21038,V42,20040811,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,OL,,2,2,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83638889,59.64361111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,60,,,,60,40,,,,,,,99,,,,,,
21039,V129,20100805,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,LAVR,,2,3,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83430556,59.50108333,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,15,,,,30,70,,,,,,,100,,,,,,
21040,V67,20040818,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,LAVR,,2,4,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83777778,59.62916667,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,5,30,,,,50,40,,,,,,,100,,,,,,
21041,V58,20040813,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,LAVR,,2,5,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.82027778,59.69083333,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,30,,,,50,50,,,,,,,100,,,,,,
21042,V61,20040814,25,,,N,,,,B-B,Tephroserido atropurpureae–Polytrichetum stricti,LAVR,,2,6,,,,RU,Oxycocco-Sphagnetea,,Vaigach Isl.,,,Y,GPS,,69.83416667,59.50111111,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,1,30,,,,60,40,,,,,,,100,,,,,,
21043,107,20040707,25,,,N,,,,B-B,Rubo chamaemori–Dicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,7,,,,RU,Oxycocco-Sphagnetea,,Dolgii Isl. in Barents Sea,,,Y,GPS,,69.16027778,59.23055556,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,5,,,,1,80,,,,,,,99,,,,,,
21044,71b,20050905,25,,,N,,,,B-B,Rubo chamaemori–Dicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,8,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Peschanka River basin in the downstream",,,Y,GPS,,69.11944444,49.93444444,,,,,,,,,,,,Y,Y,Y,1,1,0,0,,,,30,15,,,,15,35,,,,,,,99,,,,,,
21045,26,20120806,25,,,N,,,,B-B,Rubo chamaemori–Dicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,9,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85158333,49.18527778,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,15,10,,,,10,70,,,,,,,99,,,,,,
21046,28,20120806,25,,,N,,,,B-B,Rubo chamaemori–Dicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,10,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85297222,49.18111111,,,,,,,,,,,,Y,Y,Y,1,1,0,2,,,,10,20,,,,30,60,,,,,,,98,,,,,,
21047,25,20120806,25,,,N,,,,B-B,Rubo chamaemori–Dicranetum elongati subass. inops var. Ochrolechia frigida,LAVR,,2,11,,,,RU,Oxycocco-Sphagnetea,,"Kolguev Isl., Bugryanka River basin",,,Y,GPS,,68.85147222,49.18897222,,,,,,,,,,,,Y,Y,Y,1,1,0,1,,,,30,25,,,,15,40,,,,,,,99,,,,,,
