AVARU_Polar_Ural_1_mtelyatnikov_2018_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Polar Ural 1 Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Mikhail Telyatnikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M.Yu., Khitun, O.V., Ermokhina, K.A. & Pristyazhnyuk, S.A. (2022). Vegetation of the ultramafic mountain massif Rai-Iz (upper reaches of the Enga-Yu River, the Polar Urals, Russia). Botanica Pacifica: A Journal of Plant Science and Conservation., 11(1), 37–50. https://doi.org/10.17581/bp.2022.11108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Polar Ural 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,31001,31002,31003,31004a,31004b,31005,31006,31007,31008,31009,31010,31011,31012,31013,31014,31015,31016,31017,31018,31019,31020,31021,31022,31023,31024,31025,31026,31027,31028,31029,31030,31031,31032,31033,31034,31035,31036,31037,31038,31039,31040,31041,31042,31043,31044,31045,31046,31047,31048,31049,31050,31051,31052,31053,31054,31055,31056,31057,31058,31059,31060,31061,31062,31063,31064,31065,31066,31067,31068,31069,31070,31071,31072,31073,31074
,,TURBOVEG PLOT NUMBER,21229,21230,21231,21232,21233,21234,21235,21236,21237,21238,21239,21240,21241,21242,21243,21244,21245,21246,21247,21248,21249,21250,21251,21252,21253,21254,21255,21256,21257,21258,21259,21260,21261,21262,21263,21264,21265,21266,21267,21268,21269,21270,21271,21272,21273,21274,21275,21276,21277,21278,21279,21280,21281,21282,21283,21284,21285,21286,21287,21288,21289,21290,21291,21292,21293,21294,21295,21296,21297,21298,21299,21300,21301,21302,21303
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex melanocarpa,Carex melanocarpa Cham. ex Trautv.,Carex melanocarpa,2,0.5,3,2,5,1,5,4,2,4,2,3,0,1,0,4,3,5,5,5,3,0.6,17,2,3,12,2,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,2,1,5,0,0,1,3,0.5,0,0
Carex bigelowii s. ensifolia,Carex bigelowii s. ensifolia (Turcz. ex Ledeb.) ined.,Carex bigelowii s. ensifolia,4,17,5,1,3,2,4,3,2,20,27,3,17,5,3,6,7,6,6,5,0,4,6,12,6,3,0,5,20,4,14,20,2,3,8,10,8,0,12,20,5,4,11,5,12,3,7,3,6,5,0,7,15,1,5,12,17,10,15,9,7,30,5,20,2,4,15,9,2,14,5,20,15,3,35
Carex parallela,Carex parallela (Laest.) Sommerf.,Carex parallela,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,0,6,10,0,10,0,0,0,0,3,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Bistorta elliptica,"Bistorta elliptica (Willd. ex Spreng.) Kom. ex V.V. Petrovsky, D.F. Murray & Elven",Bistorta elliptica,3,0,3,1,1,3,3,2,4,5,5,2,8,4,15,7,4,2,3,6,2,3,4,4,7,8,2,2,6,2,15,5,3,0,2,3,5,2,3,15,4,2,4,3,3,3,4,2,2,3,2,6,5,2,4,5,6,2,7,6,0,2,3,4,6,2,4,6,7,6,6,6,4,1,4
Minuartia arctica,Minuartia arctica (Steven ex Ser.) Graebn.,Minuartia arctica,1,0,0,2,1,1,2,0,2,0,3,1,0,0,0,1,0,1,1,1,2,3,2,0,0,1,1,2,2,1,2,0,0,2,0,1,0.3,1,0,0,1,0.5,0,0,0,0,1,0,0,0,0,0,1,1,2,0,3,2,0.5,0,0,1,1,0.5,0,1,0,0,0,0.5,0,0,1,2,2
Silene acaulis,Silene acaulis (L.) Jacq.,Silene acaulis,2,2,1,0,1,1,1,2,3,0,0,1,0,0,1,2,6,0,0.5,1,1,2,0,0.5,2,6,2,2,0.5,1,2,1,1,3,0,0.5,0,2,0,1,0,0.5,1,0.5,0.5,0,1,2,0.5,0.5,0,0,1,1,1,3,3,2,2,3,1,0,0.5,0.5,3,1,2,0,0,0,0.5,0.5,0,2,0
Dianthus repens,Dianthus repens Willd.,Dianthus repens,1,1,1,0,0,2,1,2,0.5,3,2,2,0,1,0,1,2,2,2,1,1,2,1,1,5,1,1,1,2,2,0,2,2,1,1,0,1,1,0,1,0.5,1,0,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0.5,1,1,1,2,0.5
