AVARU_Polar_Ural_2_mtelyatnikov_2018_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Polar Ural 2 Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Mikhail Telyatnikov and Ekaterina Kudr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M.Yu., Khitun, O.V., Ermokhina, K.A. & Pristyazhnyuk, S.A. (2022). Vegetation of the ultramafic mountain massif Rai-Iz (upper reaches of the Enga-Yu River, the Polar Urals, Russia). Botanica Pacifica: A Journal of Plant Science and Conservation., 11(1), 37–50. https://doi.org/10.17581/bp.2022.11108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Polar Ural 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,32001,32002a,32002b,32003,32004,32005,32006,32007,32008,32009,32010,32011,32012,32013,32014,32015,32016,32017,32018,32019,32020,32021,32022,32023,32024,32025,32026,32027,32028,32029,32030,32031,32032,32033,32034,32035,32036,32037,32038,32039,32040,32041,32042,32043,32044,32045,32046,32047,32048,32049,32050,32051,32052,32053,32054,32055,32056a,32056b,32057,32058,32059,32060,32061,32062,32063,32064,32065,32066,32067,32068,32069,32070,32071,32072,32073,32074,32075,32076,32077,32078,32079,32080,32081,32082,32083a,32083b,32084,32085,32086,32087,32088,32089,32090,32091,32092,32093,32094,32095,32096,32097,32098,32099,32100,32101,32102,32103,32104,32105
,,TURBOVEG PLOT NUMBER,21304,21305,21306,21307,21308,21309,21310,21311,21312,21313,21314,21315,21316,21317,21318,21319,21320,21321,21322,21323,21324,21325,21326,21327,21328,21329,21330,21331,21332,21333,21334,21335,21336,21337,21338,21339,21340,21341,21342,21343,21344,21345,21346,21347,21348,21349,21350,21351,21352,21353,21354,21355,21356,21357,21358,21359,21360,21361,21362,21363,21364,21365,21366,21367,21368,21369,21370,21371,21372,21373,21374,21375,21376,21377,21378,21379,21380,21381,21382,21383,21384,21385,21386,21387,21388,21389,21390,21391,21392,21393,21394,21395,21396,21397,21398,21399,21400,21401,21402,21403,21404,21405,21406,21407,21408,21409,21410,21411
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hierochlo? alpina,Hierochlo? alpina (Sw.) Roem. & Schult.,Hierochlo? alpina,5,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,3,2,2,0,3,2,4,2,1,3,0,3,1,1,0,0.5,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0
Salix nummularia,Salix nummularia Andersson,Salix nummularia,0.5,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,12,2,3,0,2,0,2,5,9,0,1,0,0,0,6,0.5,0,0,0,0,2,2,0,2,25,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0,0,25
Betula nana,Betula nana L.,Betula nana,3,3,0,1,5,2,0,70,40,30,0,0.5,2,2,10,5,0,2,0,5,0,0.5,0.5,0,0,30,5,30,60,11,0.5,40,15,0.5,1,0,1,0,15,0,2,6,3,1,2,0,0,70,35,0,0,5,40,0,0.5,20,4,0,11,15,2,6,30,4,0,15,0,15,4,1,6,0,6,0,0,0,0,75,3,20,15,5,5,3,5,0.5,70,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0.5
Rhododendron tomentosum s. decumbens,Rhododendron tomentosum s. decumbens (Aiton) Elven & D.F. Murray,Rhododendron tomentosum s. decumbens,15,4,0,0,15,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.5,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,6,15,0,6,8,35,11,0,2,0,0,1,0,5,0,5,0,0,0,0,0,0,0,5,0.5,30,0,0,0,30,0,5,2,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arctous alpina,Arctous alpina (L.) Nied.,Arctous alpina,15,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,2,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium uliginosum,Vaccinium uliginosum L.,Vaccinium uliginosum,1,2,1,1,1,0,2,5,15,17,0,0.5,1,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0.5,3,0,0,0,0,0,0,0.5,5,0,3,0.5,0,10,0,0,0,10,3,0,2,17,0,0.5,5,12,12,10,12,10,10,0,1,25,12,5,10,0,0,4,0,0,0,2,20,40,5,3,2,3,2,0,20,30,1,9,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0
Vaccinium vitis-idaea s. minus,Vaccinium vitis-idaea s. minus (Lodd.) Hult?n,Vaccinium vitis-idaea s. minus,1,0,0,0,5,0.5,0,0,1,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,1,0,5,0,2,0,0,2,4,0,0,0,3,4,3,0,0,3,0,1,0,0,3,3,2,0,3,5,7,0,0,2,0,2,0,0,3,5,1,10,5,0,0,0,0,5,5,0,0,0,0,0,0,5,0.5,2,0,0.5,0.5,0,0
