AVARU_Polar_Ural_3_mtelyatnikov_2018_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Polar Ural 3 Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Mikhail Telyatnikov and Ekaterina Kudr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M.Yu., Khitun, O.V., Ermokhina, K.A. & Pristyazhnyuk, S.A. (2022). Vegetation of the ultramafic mountain massif Rai-Iz (upper reaches of the Enga-Yu River, the Polar Urals, Russia). Botanica Pacifica: A Journal of Plant Science and Conservation., 11(1), 37–50. https://doi.org/10.17581/bp.2022.11108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Polar Ural 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,33001,33002,33003,33004,33005,33006,33007,33008,33009,33010,33011,33012,33013,33014,33015,33016,33017,33018,33019,33020,33021,33022,33023,33024,33025,33026,33027,33028,33029,33030,33031,33032,33033,33034,35035,33036,33037,33038,33039,33040,33041,33042,33043,33044,33045,33046,33047,33048,33049,33050,33051,33052,33053,33054,33055,33056,33057,33058,33059,33060,33061,33062,33063,33064,33065,33066,33067,33068,33069,33070,33071,33072,33073,33074,33075,33076,33077,33078,33079,33080
,,TURBOVEG PLOT NUMBER,21412,21413,21414,21415,21416,21417,21418,21419,21420,21421,21422,21423,21424,21425,21426,21427,21428,21429,21430,21431,21432,21433,21434,21435,21436,21437,21438,21439,21440,21441,21442,21443,21444,21445,21446,21447,21448,21449,21450,21451,21452,21453,21454,21455,21456,21457,21458,21459,21460,21461,21462,21463,21464,21465,21466,21467,21468,21469,21470,21471,21472,21473,21474,21475,21476,21477,21478,21479,21480,21481,21482,21483,21484,21485,21486,21487,21488,21489,21490,21491
PASL TAXON SCIENTIFIC NAME NO AUTHOR(S),PASL TAXON SCIENTIFIC NAME WITH AUTHOR(S),DATASET TAXON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Unknown,Unknown,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,10,20,20,0,1,1,0,0,0,3,1,5,0,4,0,0,0.5,0,0,0.5,1,0,0,1,40,0,0,0,0,0.5,0,0,1,0,20,2,20,0,0,0,0,0,15,0.5,6,0,0,0,1,0,0,0,0,0,0.5,20,0.5,0,0,1,0,0,0,0
Selaginella selaginoides,Selaginella selaginoides (L.) P. Beauv.,Selaginella selaginoides,2,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equisetum arvense,Equisetum arvense L.,Equisetum arvense,3,20,2,0,8,0,0,0,0,5,0,0,0,2,0,6,2,7,0.5,0,25,0,0,0,0,2,20,7,0,2,0.5,2,0.5,0,10,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,7,5,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,1,0.5,6,0,0.5,0
Equisetum scirpoides,Equisetum scirpoides Michx.,Equisetum scirpoides,2,0,3,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botrychium lunaria,Botrychium lunaria (L.) Sw.,Botrychium lunaria,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veratrum album,Veratrum album L.,Veratrum album,6,10,0.5,0,4,0,0,0,0,4,0,0.5,0,0,0,0,3,6,10,2,5,0,0,0,0,0,5,4,0.5,1,0.5,4,2,0,5,2,0,0,0,0,0,2,5,0,2,1,0,0,0,2,0.5,0,5,2,10,7,0.5,6,20,6,15,2,0,0.5,15,0,0,10,0,0,4,1,1,2,0,5,12,0,2,0
Luzula nivalis,Luzula nivalis (Laest.) Spreng.,Luzula nivalis,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
