RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
21492,34001a,20180808,100,I,0,N,R,,9,FLD_NM,Dwarf-shrub lichen-moss heath,MT,,,,,,E,RU,Polar_Ural_4,203,Manyasej (Emglo,,,Y,GPS,10,68.449139,66.322472,181,0,-9,EL_PLN,,1.03,DRY,NAT,1,LOM,-9,Y,Y,Y,1,1,0,0,0,0,12,51,5,0,0,0,30,40,0,0,0,0,0,0,100,-9,-9,0,10,-9,frost boil
21493,34001b,20180808,100,I,0,N,R,,9,FLD_NM,Moss-lichen tundra,MT,,,,,,E,RU,Polar_Ural_5,204,Manyasej (Emglo,,,Y,GPS,10,68.449139,66.322472,181,0,-9,EL_PLN,,1.03,DRY,NAT,1,LOM,-9,Y,Y,Y,1,1,0,0,0,0,2,3,1,0,1,0,2,12,2,0,0,80,0,0,20,-9,-9,0,10,-9,frost boil
21494,34002,20180808,100,I,0,N,R,,9,FLD_NM,Moss-lichen tundra,EK,,,,,,E,RU,Polar_Ural_6,205,Manyasej (Emglo,,,Y,GPS,10,68.449278,66.324722,180,0,-9,EL_PLN,,1.03,DRY,NAT,1,LOM,-9,Y,Y,Y,1,1,0,0,0,0,1,5,2,2,1,0,10,10,2,0,2,80,0,1,20,5,-9,0,15,3,frost boil
21495,34003,20180808,100,I,0,N,R,,9,FLD_NM,Low-shrub (Betula nana) tundra with Eriophorum vaginatum and lichens,MT,,,,,,E,RU,Polar_Ural_7,206,Manyasej (Emglo,,,Y,GPS,10,68.448361,66.321833,179,2,120,BACK,,1.03,MST,NAT,2,LOM,-9,Y,Y,Y,1,1,0,40,0,40,5,5,22,5,7,0,60,25,0,0,0,0,0,0,100,-9,-9,20,12,-9,
21496,34004,20180808,100,I,0,N,R,,9,FLD_NM,Low-shrub (Betula nana) tundra,EK,,,,,,E,RU,Polar_Ural_8,207,Manyasej (Emglo,,,Y,GPS,10,68.447611,66.318528,180,3,60,BACK,,1.03,MST,NAT,2,LOM,-9,Y,Y,Y,1,1,0,0,0,0,40,2,5,1,2,1,95,2,0,0,0,0,0,5,100,25,-9,25,25,3,frost boil
21497,34005,20180808,100,I,0,N,R,,6,FLD_NM,Tussock tundra (Eriophorum vaginatum),MT,,,,,,E,RU,Polar_Ural_9,208,Manyasej (Emglo,,,Y,GPS,10,68.446806,66.319111,180,0,-9,EL_PLN,,5.06,WET,NAT,7,LOM,-9,Y,Y,Y,1,1,0,8,0,8,0,0,42,25,12,0,50,5,0,0,0,0,0,0,100,-9,-9,0,25,-9,frost boil
21498,34006,20180808,100,I,0,N,R,,6,FLD_NM,Tussock tundra (Eriophorum vaginatum),EK,,,,,,E,RU,Polar_Ural_10,209,Manyasej (Emglo,,,Y,GPS,10,68.447361,66.318861,180,0,-9,EL_PLN,,5.06,WET,NAT,5,LOM,-9,Y,Y,Y,1,1,0,0,0,0,3,0,1,0,40,0,98,1,0,0,0,0,0,2,100,20,-9,10,20,5,
21499,34007,20180808,100,I,0,N,R,,5,FLD_NM,Sedge brown-moss fen,MT,,,,,,E,RU,Polar_Ural_11,210,Manyasej (Emglo,,,Y,GPS,10,68.44675,66.320306,178,0,-9,EL_PLN,,5.06,AQU,NAT,4,ORG,-9,Y,Y,Y,1,1,0,1,0,1,0,0,53,0,19,0,45,0,0,0,0,0,0,0,100,-9,-9,30,25,-9,
21500,34008,20180808,100,I,0,N,R,,5,FLD_NM,Eriophorum polystachion-dominated fen,EK,,,,,,E,RU,Polar_Ural_12,211,Manyasej (Emglo,,,Y,GPS,10,68.446917,66.32175,176,0,-9,EL_PLN,,5.06,WET,NAT,5,ORG,-9,Y,Y,Y,1,1,0,0,0,0,10,0,1,0,80,0,40,1,0,0,0,0,40,10,100,50,-9,0,50,10,
21501,34009,20180808,100,I,0,N,R,,6,FLD_NM,Tussock tundra with Betula nana,EK,,,,,,E,RU,Polar_Ural_13,212,Manyasej (Emglo,,,Y,GPS,10,68.447056,66.321861,170,0,-9,EL_PLN,,5.06,WET,NAT,5,LOM,-9,Y,Y,Y,1,1,0,0,0,0,40,0,2,1,30,0,98,1,0,0,0,0,0,5,100,20,-9,0,25,5,
21502,34010,20180808,100,I,0,N,R,,,FLD_NM,Chionophytic tundra,EK,,,,,,E,RU,Polar_Ural_14,213,Manyasej (Emglo,,,Y,GPS,10,68.453917,66.316167,173,15,200,BACK,,,MST,NAT,1,LOM,-9,Y,Y,Y,1,1,0,0,0,0,3,4,20,20,15,1,10,25,1,0,0,5,0,5,80,15,-9,0,15,2,
21503,34011,20180808,100,I,0,N,R,,,FLD_NM,Chionophytic tundra with Salix polaris and lichens,MT,,,,,,E,RU,Polar_Ural_15,214,Manyasej (Emglo,,,Y,GPS,10,68.454306,66.315194,170,15,200,BACK,,,MST,NAT,1,LOM,-9,Y,Y,Y,1,1,0,1,0,1,0,10,18,0,24,4,12,22,0,0,0,10,0,0,90,-9,-9,30,15,-9,
21504,34012,20180808,100,I,0,N,R,,,FLD_NM,Wet meadow dominated by Poa alpigena and Veratrum lobelianum,EK,,,,,,E,RU,Polar_Ural_16,215,Manyasej (Emglo,,,Y,GPS,10,68.453833,66.315778,168,0,-9,RIPZN,,,MST,NAT,1,LOM,-9,Y,Y,Y,1,1,0,0,0,0,2,2,20,1,25,1,50,2,0,0,0,5,0,30,95,20,-9,0,20,2,
