RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,1Ka/39,4.07.1937,4,,,,,,,,,Kalliola R.,,,,,,,,,,Pallastunturi,,,Y,,,68.0963,24.0129,610,no data,no data,CRST,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,2Ka/39,08.08.1933,4,,,,,,,,,Kalliola R.,,,,,,,,,,Raututunturit,,,Y,,,68.3423,27.5209,480,no data,no data,CRST,GRV,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,3Ka/39,09.08.1933,4,,,,,,,,,Kalliola R.,,,,,,,,,,Raututunturit,,,Y,,,68.3423,27.5209,460,no data,no data,CRST,GRV,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,4Ka/39,10.08.1933,4,,,,,,,,,Kalliola R.,,,,,,,,,,Raututunturit,,,Y,,,68.3423,27.5209,465,no data,no data,SLOPE,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,5Ka/39,12.08.1933,4,,,,,,,,,Kalliola R.,,,,,,,,,,Raututunturit,,,Y,,,68.3423,27.5209,425,no data,no data,SLOPE,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,6Ka/39,07.07.1935,4,,,,,,,,,Kalliola R.,,,,,,,,,,Marastotunturi,,,Y,,,68.7978,25.7644,480,no data,no data,EL_PLN,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,7Ka/39,30.07.1935,4,,,,,,,,,Kalliola R.,,,,,,,,,,Tuorbumoaivi,,,Y,,,69.312,26.0919,440,no data,no data,SLOPE,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,8Ka/39,22.07.1935,4,,,,,,,,,Kalliola R.,,,,,,,,,,Otsjokka,,,Y,,,69.8923,26.9126,360,no data,no data,SLOPE,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
,9Ka/39,26.07.1937,4,,,,,,,,,Kalliola R.,,,,,,,,,,"Petsamofjelde, Vuoggoaivi",,,Y,,,69.4393,30.2801,300,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,no data,no data,,,,,,,no data,,,,,,
