RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
20909,K48,20120811,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,1,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, Kolguev Island Bugryanka River basin",,,Y,GPS,5,68.87147222,49.22933333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,1,0,,,,,,,100,,,,,,herb layer cover 99%
20910,K135,20130825,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,2,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.18244444,49.44091667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,1,0,,,,,,,100,,,,,,herb layer cover 99%
20911,K23,20130803,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,3,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.23808333,48.85997222,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,5,0,,,,,,,100,,,,,,herb layer cover 95%
20912,K96,20130813,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,4,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.24586111,48.82058333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,20,0,,,,,,,100,,,,,,herb layer cover 90%
20913,K32,20130804,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,5,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.25466667,48.83030556,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,20,0,,,,,,,100,,,,,,herb layer cover 80%
20914,K57,20130808,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,6,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.23130556,48.85802778,,2,9,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,10,0,,,,,,,100,,,,,,herb layer cover 90%
20915,D33,20060705,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,7,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Timanskaya tundra Svaytoi Nos Cape",,,Y,GPS,5,67.88366667,48.66977778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,10,0,,,,,,,100,,,,,,herb layer cover 90%
20916,D17,20060704,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,8,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Timanskaya tundra Svaytoi Nos Cape",,,Y,GPS,5,67.89158333,48.66011111,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,10,,,,,,,,,40,1,,,,,,,100,,,,,,herb layer cover 60%
20917,BN17,20140724,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,9,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Bolshezemel'skaya tundra Bolvansky Nos Cape",,,Y,GPS,5,68.28375,54.46294444,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,1,,,,,,,,,20,0,,,,,1,,99,,,,,,herb layer cover 80%
20918,K18,20130802,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,10,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.24961111,48.72702778,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,50,0,,,,,,,100,,,,,,herb layer cover 70%
20919,K58,20130808,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,11,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.22613889,48.86433333,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,20,0,,,,,,,100,,,,,,herb layer cover 80%
20920,K137,20130826,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,12,,,,RU,SC_LAVR,D,"Russia, Nenets autonimus District, Kolguev Island Peschanka River basin in the uppstream",,,Y,GPS,5,69.18558333,49.43938889,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,10,0,,,,,,,100,,,,,,herb layer cover 90%
20921,K38,20120808,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",Lavr,42,3,13,,,,RU,SC_LAVR,E,"Russia, Nenets autonimus District, Kolguev Island Bugryanka River basin",,,Y,GPS,5,68.86877778,49.30544444,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,40,0,,,,,20,,80,,,,,,herb layer cover 60%
20922,D13,20060704,25,S,2,N,Y,R,05AA01,B-B,"Carici stantis?Warnstorfietum exannulatae Lavrinenko, Matveyeva, Lavrinenko 2016",LavrO,42,3,14,,,,RU,SC_LAVR,,"Russia, Nenets autonimus District, Timanskaya tundra Svaytoi Nos Cape",,,Y,GPS,5,67.88780556,48.64044444,,0,,,,,,NAT,,,,Y,Y,Y,1,1,,0,,,,,,,,,50,0,,,,,,,100,,,,,,herb layer cover 70%
