RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,T1-222,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.218948,75.212345,47,2,270,BACK,,,MOIST,DIS,6,ORG,,Y,N,Y,1,3,0,70,,70,5,0,5,0,15,0,70,30,0,0,2,0,0,10,98,50,0,50,10,6,
,T1-223,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.219103,75.212698,48,1,225,RIPZN,,,AQU,NAT,8,ORG,,Y,N,Y,1,3,0,5,,5,1,,30,0,1,0,100,0,0,0,0,0,0,15,100,25,0,25,25,8,
,T1-224,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.219213,75.213555,47,7,225,BACK,,,DRY,NAT,6,SND,,Y,N,Y,1,3,0,30,,30,5,0,50,1,10,0,90,0,0,0,0,0,0,10,100,15,0,15,20,8,
,T1-225,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.219306,75.213057,47,7,202,BACK,,,DRY,DIS,3,SND,,Y,N,Y,1,3,0,15,,15,5,5,25,0,0,0,10,70,20,0,10,0,0,15,90,30,0,30,40,2,
,T1-226,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.219509,75.213259,53,1,360,CRST,,,DRY,DIS,2,SND,,Y,N,Y,1,3,0,25,,25,,5,25,0,0,0,20,70,10,0,10,0,0,0,90,5,0,5,15,3,
,T1-227,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.219726,75.213746,49,1,135,FOOT,,,MOIST,NAT,10,LOM,,Y,N,Y,1,3,0,10,,10,25,0,10,10,30,0,95,25,2,0,2,0,0,5,98,10,0,10,10,10,
,T1-228,20170731,25,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.220139,75.214534,57,1,135,CRST,,,DRY,DIS,2,,,Y,N,Y,1,3,0,15,,15,5,0,15,0,0,0,15,70,10,0,5,0,0,10,95,15,0,15,20,3,
,T1-229,20170731,100,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.220518,75.215353,54,1,180,BACK ,,,MOIST,NAT,12,ORG,,Y,N,Y,1,3,0,15,,15,25,0,20,10,15,0,60,70,,0,0,0,0,10,100,20,0,20,30,4,
,T1-230,20170731,4,S,0,1,N,R,,,,O. Khitun,,,,,,E,RU,Tazovsky_peninsula,,,,,Y,GPS,5,68.220444,75.215006,56,1,180,BACK ,,,WET,NAT,4,SND,,Y,N,Y,1,3,0,1,0,1,0,0,20,,0,0,60,20,0,30,5,0,0,10,100,30,0,25,30,2,
