RELEVE_NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDEWGS84'(DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
001--98,,7/21/1998,,,Drude,,,,,,Mixherbae - Salix polaris - ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.37997,105.51688,50,0,-1,LAKE,,,,,,SLT,,Y,Y,Y,1,1,0,,,,10,,,,20,,,,,,,,,,30,,,,,,
002--98,,7/21/1998,,,Drude,,,,,,Mixherbae ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.37899,105.53187,50,0,-1,LW_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,50,,,,10,,50,,,,,,,,20,,,,,,
003--98,,7/21/1998,,,Drude,,,,,,Cassiope tetragona + Dryas punctata - Mixherbae -,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.3812,105.55214,55,0,-1,LW_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,10,,,,5,,,,,,,,,,10,,,,,,
004--98,,7/21/1998,,,Drude,,,,,,Tomentypnum nitens* + Hylocomnium splendens - Carex misandra+Carex arctisibirica - Dryas punctata,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.38164,105.56672,60,0,-1,FOOT,,,,,,LOM,,Y,Y,Y,1,1,0,,,,20,,30,,,,100,,,,,,,,100,,,,,,
005--98,,7/21/1998,,,Drude,,,,,,Salix alaxensis - Mixherbae - Leymus interior,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.38427,105.55789,60,0,-1,FOOT,,,,,,GRV,,Y,Y,Y,1,1,0,,,,70,,30,,,,80,,,,,,,,90,,,,,7,
006--98,,7/21/1998,,,Drude,,,,,,Chamaenerion latifolium + Equisetum arvense - Carex concolor - Salix reptans,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.39209,105.60659,100,0,-1,RIPZN,,,,,,GRV,,Y,Y,Y,1,1,0,,,30,,,30,,50,,,,,,,,,,90,,,,,,
007--98a,,7/21/1998,,,Drude,,,,,,Tomentypnum nitens* + Hylocomium splendens var.obtusifolium + Ptilidium ciliare - Dryas punctata + Salix polaris - Carex arctisibirica,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.39801,105.60965,140,7,135,BACK,,,,,,LOM,,Y,Y,Y,1,1,0,,,,50,,30,,,,90,,,,,,,,90,,,,,,
007--98b,,7/21/1998,,,Drude,,,,,,Tomentypnum nitens - Carex concolor + Eriophorum polystachion + E. vaginatum - Salix polaris + Dryas punctata,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.39801,105.60965,140,7,135,BACK,,,,,,LOM,,Y,Y,Y,1,1,0,,,,30,,50,,,,100,,,,,,,,100,,,,,,
008--98,,7/21/1998,,,Drude,,,,,,Dryas punctata - Papaver polare - Novosieversia glacialis,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.40346,105.61316,180,0,-1,EL_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,30,,,,15,,,,,,,,,,50,,,,,,
009--98,,7/21/1998,,,Drude,,,,,,Hylocomium splendens var.obtusifolium - Dryas punctata - Carex arctisibirica,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.40764,105.60016,200,2,,CRST,,,,,,"GRV, LOM",,Y,Y,Y,1,1,0,,,,25,,15,,,,60,,,,,,,,80,,,,,,
01--00,,7/30/2000,,,Drude,,,,,,Kobresia myosuroides - Dryas punctata+Salix nummularia - Mixherbae,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,74.65666,102.74227,100,15,135,BACK,,,,,,SND,,Y,Y,Y,1,1,0,,,,30,,40,,20,,,,,,,,,,90,,,,,,
01--05a,,8/22/2005,,,Drude,,,,,,Tomentypnum nitens - Vaccinium uliginosum + Dryas punctata + Arctous alpina - Dushekia fruticosa + Salix glauca,Igor Pospelov,,,,,,FT,RU,,Taymyr,,,,Y,GPS,,71.16379435,102.6942138,20,0,-1,RIPZN,,,,,,ORG,,Y,Y,Y,1,1,1,,,40,50,,,,,,90,,,,,,,,90,,200--300,,,,
01--05b,,8/22/2005,,,Drude,,,,,,Schistidium apocarpum + Meesia triquetra + Sphagnum spsp/ - Eriophorum polystachion + Carex concolor - Salix glauca + Betula exilis,Igor Pospelov,,,,,,FT,RU,,Taymyr,,,,Y,GPS,,71.16379435,102.6942138,20,0,-1,RIPZN,,,,,,ORG,,Y,Y,Y,1,1,1,,,20,,,20,,,,60,,,,,,,,100,,200--300,,,,
010--98,,7/21/1998,,,Drude,,,,,,Deschampsia brevifolia + Phippsia algida - Salix polaris - Orthothecium chryseon + Musci s.l.,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.423,105.62244,300,25,90,BACK,,,,,,GRV,,Y,Y,Y,1,1,0,,,,20,,20,,,,10,,,,,,,,30,,,,,,
011--98,,7/21/1998,,,Drude,,,,,,Lichenes - Papaver polare - Poa pseudoabbreviata,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.42954,105.61424,500,30,135,BACK,,,,,,GRV,,Y,Y,Y,1,1,0,,,,,,3,,3,,,30,,,,,,,30,,,,,,
012--98,,7/21/1998,,,Drude,,,,,,Lichenes - Saxifraga cernua + Poa pseudoabbreviata - ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.43652,105.62065,600,0,-1,EL_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,,,1,,1,,,50,,,,,,,15,,,,,,
013--98,,7/21/1998,,,Drude,,,,,,Tomentypnum nitens + Polytrichum sp. - Carex arctisibirica - Dryas punctata + Salix polaris,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.41727,105.58831,250,10,203,BACK,,,,,,GRV,,Y,Y,Y,1,1,0,,,,20,,30,,,,100,,,,,,,,75,,,,,,
014--98a,,7/23/1998,,,Drude,,,,,,Carex concolor + Eriophorum polystachion - Limprichtia revolvens + Meezia triquetra - ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.36571,105.41835,60,0,-1,LW_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,,,50,,,,40,,,,,,,,100,,,,,,
014--98b,,7/23/1998,,,Drude,,,,,,Sphagnum spsp. + Polytrichum strictum - Carex concolor - Salix reptans,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.36571,105.41835,60,0,-1,LW_PLN,,,,,,ORG,,Y,Y,Y,1,1,0,,,3,,,30,,,,100,,,,,,,,100,,,30,,,
015--98a,,7/23/1998,,,Drude,,,,,,Sphagnum spsp. - Carex concolor - Salix reptans ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.36442,105.40705,60,0,-1,LW_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,50,15,,40,,,,100,,,,,,,,100,,,,,,
015--98b,,7/23/1998,,,Drude,,,,,,Carex concolor - Dupontia fisheri + Hierochloe pauciflora - Limprichtia revolvens + Meezia triquetra,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.36442,105.40705,60,0,-1,LW_PLN,,,,,,GRV,,Y,Y,Y,1,1,0,,,,,,70,,,,30,,,,,,,,100,,,,,,
016--98a,,7/23/1998,,,Drude,,,,,,Polytrichum strictum - Dryas punctata - Carex arctisibirica + Carex concolor ,Igor Pospelov,,,,,,D,RU,,Taymyr,,,,Y,GPS,,75.36373,105.39625,65,0,-1,LW_PLN,,,,,,ORG,,Y,Y,Y,1,1,0,,,,20,,20,,,,100,,,,,,,,100,,,,,,
