RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REBMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
20724,80c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,70.933415,-179.60352,10,1,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,35,10,,,,,,,70,,0,,,,in orig. cover for vascular plants is 65%
20725,85c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,8,1,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,25,,,,,,,70,,0,,,,in orig. cover for vascular plants is 40%
20726,154a-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,120,7,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,4,8,,,,,,,60,,0,,,,in orig. cover for vascular plants is 50%
20727,90v-n,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,175,2,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,35,5,,,,,,,40,,0,,,,in orig. cover for vascular plants is 35%
20728,548-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.27168,-178.81801,110,6,315,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,30,10,,,,,,,50,,0,,,,in orig. cover for vascular plants is 40%
20729,344-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.130084,179.560917,120,3,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,40,10,,,,,,,50,,0,,,,in orig. cover for vascular plants is 45%; Hypnum species = Stereodon holmenii
20730,346-2,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.305915,-179.739946,170,4,135,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,35,1,,,,,,,55,,0,,,,in orig. cover for vascular plants is 50%
20731,356-2,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,160,4,338,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,8,,,,,,,45,,0,,,,in orig. cover for vascular plants is 25%; Schistidium apocarpum  = Schistidium papillosum 
20732,2-Nov,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,80,10,360,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,40,3,,,,,,,50,,0,,,,in orig. cover for vascular plants is 35%
20733,180c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.030736,-179.511373,255,3,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,1,1,,,,,,,30,,0,,,,in orig. cover for vascular plants is 30%
20734,333-2,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.292197,-179.651367,90,3,90,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,18,10,,,,,,,100,,0,,,,in orig. cover for vascular plants is 75%
20735,399-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.118751,-179.723302,220,8,180,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,7,4,,,,,,,50,,0,,,,in orig. cover for vascular plants is 50%
20736,528,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.242432,-178.739945,100,-1,-1,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,40,8,,,,,,,50,,0,,,,in orig. cover for vascular plants is 45%
20737,361-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,71.314563,-179.575882,100,4,270,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,35,2,,,,,,,45,,0,,,,in orig. cover for vascular plants is 40%
20738,64-3,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,130,3,45,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,30,1,,,,,,,40,,0,,,,in orig. cover for vascular plants is 30%; Schistidium apocarpum  = Schistidium papillosum 
20739,82c,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,Y,GPS,,70.965314,-179.583093,55,-1,-1,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,10,2,,,,,,,55,,0,,,,in orig. cover for vascular plants is 50%
20740,495-1,,,,2,,R,,16,B-B,Association Oxytropidi wrangelii-Diyadetum integrifoliae,SKH,39,,,39,,B,RU,Wrangel_island,25,,,,N,,,,,55,-1,-1,,,,,,,,,Y,Y,Y,1,1,0,,,,,,,,,,15,15,,,,,,,95,,0,,,,in orig. cover for vascular plants is 85%
