RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,Ya1,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.469444,70.16291667,,0,0,LW_PLN,,,N,NAT,3,LOM,,Y,,Y,1,3,0,0,0,0,0.1,60,25,0,5,0,98,1,2,0,0,0,0,30,98,,,,,,
,Ya3,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47305556,70.16877778,,0,0,LW_PLN,,,AQU,NAT,0,ORG,,Y,,Y,1,3,0,0,0,0,0,0,30,0,0,0,100,0,0,0,0,0,0,50,100,,,,,,
,Ya5,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47283333,70.16822222,,0,0,LW_PLN,,,AQU,NAT,0,ORG,,Y,,Y,1,3,0,0,0,0,0,0,50,0,5,0,100,0,0,0,0,0,0,70,100,,,,,,
,Ya7,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47297222,70.17422222,,0,0,LW_PLN,,,MOIST,NAT,2,LOM,,Y,,Y,1,3,0,0,0,0,0.1,1,25,0,0.1,0,100,30,0,0,0,0,0,30,100,,,,,,
,Ya9,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47280556,70.17933333,,0,0,LW_PLN,,,AQU,NAT,,ORG,,Y,,Y,1,3,0,0,0,0,0,0,20,0,0.1,0,100,0,0,0,0,0,0,50,100,,,,,,
,Ya10,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47275,70.17975,,0,0,LW_PLN,,,AQU,NAT,,ORG,,Y,,Y,1,3,0,0,0,0,0,0.1,20,0,5,0,100,0,0,0,0,0,0,20,100,,,,,,
,Ya14,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47366667,70.19694444,,0,0,RIPZN,,,MOIST,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,0,10,20,0,10,0.1,3,20,0,0,10,0,0,60,95,,,,,,
,Ya16,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47341667,70.20577778,,0,0,LW_PLN,,,N,NAT,2,LOM,,Y,,Y,1,3,0,0,0,0,0,90,15,0,3,0,100,0.1,0,0,0,0,0,10,100,,,,,,
,Ya19,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47444444,70.21805556,,0,0,LW_PLN,,,WET,NAT,10,LOM,,Y,,Y,1,3,0,0.1,0,0.1,0,0,50,0,3,0,100,0.1,0,0,0,0,0,80,100,,,,,,
,Ya20,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47444444,70.21805556,,0,0,LW_PLN,,,DRY,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,0,7,3,0,0.1,0,30,70,0,0,0,0,0,3,100,,,,,,
,Ya21,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.4745,70.21963889,,7,180,LW_PLN,,,MOIST,NAT,1,LOM,,Y,,Y,1,3,0,0,0,0,0,30,10,0,0.1,3,100,10,0.1,0,0,0,0,10,100,,,,,,
,Ya22,7/30/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.4745,70.21994444,,0,0,RIPZN,,,N,NAT,,,,Y,,Y,1,3,0,0,0,0,0,0,40,0,2,0,100,0,0,0,0,0,0,50,100,,,,,,
,Ya24,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47747222,70.14791667,,0,0,EL_PLN,,,AQU,NAT,,ORG,,Y,,Y,1,3,0,0,0,0,0,0,50,0,0,0,10,0,0,0,0,0,90,20,60,,,,,,
,Ya26,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47741667,70.14377778,,0,0,EL_PLN,,,WET,DIST,3,LOM,,Y,,Y,1,3,0,0,0,0,0,0.1,50,0,1,0,100,15,0,0,0,0,0,90,100,,,,,,
,Ya28,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47733333,70.13983333,,0,0,EL_PLN,,,MOIST,DIST,3,LOM,,Y,,Y,1,3,0,0,0,0,0,30,50,0,0.1,0,100,30,0,0,0,0,0,95,100,,,,,,
,Ya30,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47727778,70.13644444,,0,0,EL_PLN,,,MOIST,DIST,1.5,LOM,,Y,,Y,1,3,0,0,0,0,1,15,20,0,1,0.1,100,50,0.1,0,0,0,0,5,100,,,,,,
,Ya32,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47705556,70.13480556,,10,270,BACK,,,DRY,NAT,2,LOM,,Y,,Y,1,3,0,0,0,0,20,20,2,0,0,0,100,40,0.1,0,0.1,0,0,10,100,,,,,,
,Ya33,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47702778,70.13477778,,20,270,BACK,,,DRY,DIST,2,LOM,,Y,,Y,1,3,0,0,0,0,20,20,1,0,0,0.1,100,30,0.1,0,0.1,0,0,10,100,,,,,,
,Ya35,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47688889,70.13422222,,20,100,BACK,,,DRY,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,25,15,10,0,0.1,0.1,90,30,0.1,0,0.1,0,0,20,100,,,,,,
,Ya37,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47652778,70.13283333,,5,100,FOOT,,,DRY,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,1,5,10,0,1,45,100,20,0.1,0,0,0,0,7,100,,,,,,
,Ya39,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47636111,70.13113889,,2,180,FOOT,,,WET,DIST,1.5,LOM,,Y,,Y,1,3,0,0,0,0,0,10,40,0,2,0.1,98,5,0,0,2,0,0,60,98,,,,,,
,Ya41,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47602778,70.13033333,,7,10,FOOT,,,WET,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,10,50,,,,,,
,Ya43,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47541667,70.12661111,,0,0,EL_PLN,,,DRY,NAT,0,SND,,Y,,Y,1,3,0,0,0,0,0,10,10,0,0.1,0,20,1,0,0,60,0,0,0,40,,,,,,
,Ya44,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47527778,70.12544444,,0,0,EL_PLN,,,AQU,DIST,0,SND,,Y,,Y,1,3,0,0,0,0,0,0,30,0,0,0,0,0,0,100,0,0,100,50,90,,,,,,
,Ya46,8/2/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47488889,70.11880556,,2,180,EL_PLN,,,DRY,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,0.1,40,1,0,0.1,0,85,15,0,0,15,0,0,3,85,,,,,,
,Ya49,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47863889,70.1505,,0,0,EL_PLN,,,AQU,NAT,,ORG,,Y,,Y,1,3,0,0,0,0,0,0,45,0,0,0,5,0,0,0,0,0,100,5,50,,,,,,
,Ya50,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47863889,70.15025,,0,0,EL_PLN,,,WET,NAT,1,LOM,,Y,,Y,1,3,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,50,80,100,,,,,,
,Ya51,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47866667,70.15,,0,0,EL_PLN,,,WET,NAT,3,LOM,,Y,,Y,1,3,0,0,0,0,0,0,60,0,0,0,80,10,0,0,20,0,0,99,99,,,,,,
,Ya52,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47869444,70.14986111,,0,0,EL_PLN,,,WET,DIST,4,LOM,,Y,,Y,1,3,0,0,0,0,0,50,40,0,0,0,100,30,0,0,20,0,0,95,100,,,,,,
,Ya56,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47947222,70.15047222,,0,0,FOOT,,,AQU,DIST,,ORG,,Y,,Y,1,3,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,10,100,,,,,,
,Ya57,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47952778,70.15033333,,10,180,BACK,,,MOIST,DIST,1,LOM,,Y,,Y,1,3,0,0,0,0,2,8,3,0,0.1,0,60,30,20,0,0,0,0,3,100,,,,,,
,Ya59,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.481,70.149,,0,0,EL_PLN,,,WET,NAT,5,LOM,,Y,,Y,1,3,0,0,0,0,0,0,50,0,0,0,100,20,0,0,0,0,0,85,100,,,,,,
,Ya62,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.48247222,70.13383333,,0,0,SHLD,,,DRY,NAT,<1,LOM,,Y,,Y,1,3,0,0,0,0,5,15,3,0,0.1,0,30,20,45,0,5,0,0,5,95,,,,,,
,Ya64,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.481,70.13336111,,0,0,SHLD,,,DRY,DIST,<1,LOM,,Y,,Y,1,3,0,0,0,0,5,25,5,0,0.1,0,30,20,30,0,2,0,0,3,98,,,,,,
,Ya66,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47988889,70.13238889,,0,0,CRST,,,WET,DIST,4,LOM,,Y,,Y,1,3,0,0,0,0,0,0,60,1,0.1,0,100,15,0,0,0,0,0,99,100,,,,,,
,Ya69,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.4835,70.12475,,0,0,LW_PLN,,,MOIST,NAT,1,LOM,,Y,,Y,1,3,0,0,0,0,0,40,10,0,0.1,0,20,30,0.1,0,0,0,0,1,100,,,,,,
,Ya71,8/3/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.48458333,70.12375,,5,90,BACK,,,DRY,NAT,<1,LOM,,Y,,Y,1,3,0,0.1,0,0.1,0.1,20,5,0,2,0.1,60,3,0,0,0,0,0,2,100,,,,,,
,Ya87,8/4/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,,,,0,0,LW_PLN,,,MOIST,DIST,1.5,LOM,,Y,,Y,1,3,0,0,0,0,0,0.1,50,0,2,0,100,10,0,0,0,0,0,30,100,,,,,,
,Ya88,8/4/2017,100,,0,1,N,R,,,,E. Troeva,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.46902778,70.22058333,,0,0,LW_PLN,,,AQU,NAT,,ORG,,Y,,Y,1,3,0,0,0,0,0,0,50,0,0.1,0,100,0,0,0,0,0,0,30,100,,,,,,
