RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITEMOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REMARKS
RELEVE_NR  ,FIELD_NR,DATE,SURF_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_NR,NR_IN_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,REF_PHY,GEOREFERENCE (Y/N),GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ALTITUDE,INCLINATIO,EXPOSITION,POSITION,SURF_GEOL,HABITAT_TYPE,SITE_MOIST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICHEN,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
,Ya1-2,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47402778,70.1645,8,0,FLT,,LW_PLN,,WET,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,0,0,,,0,0,0,,100,,0,0,0,,
,Ya1-4,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47319444,70.17066667,8,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,90,0,,,0,0,0,,100,,0,0,25,,
,Ya1-6,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47305556,70.17308333,12,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,90,15,,,0,0,0,,100,,0,0,0,,
,Ya1-8,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47294444,70.17758333,4,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,50,1,,,0,0,0,,90,,0,0,35,,
,Ya1-11,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47277778,70.18125,7,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,90,17,,,0,0,0,,100,,0,0,0,,
,Ya1-12,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47286111,70.18575,7,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,85,10,,,0,0,0,,100,,0,0,25,,
,Ya1-13,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47302778,70.18841667,9,0,FLT,,LW_PLN,,AQU,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,20,0,,,0,0,15,,80,,0,0,45,,
,Ya1-15,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47275,70.19686111,4,0,FLT,,RIPZN,,WET,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,90,0,,,0,0,0,,100,,0,0,25,,
,Ya1-17,20170730,100,,0,1,N,R,,,,M. Telyatnikov,,,,,,C,RU,yava1_Northern_Yamal,10,,,,Y,GPS,5,72.47425,70.20672222,8,0,FLT,,LW_PLN,,N,NAT,,ORG,,Y,Y,Y,,,0,0,0,0,,,,,,,100,12,,,0,0,0,,100,,0,0,35,,
