RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REBMARKS
RELEVE_NR,FIELD_NR,DATE,REL_AREA ,SHAPE,COVERSCALE,REPEAT,COLLECT,COLL_METH,SYNTAXON,COMM_SYST,COMM_NAME,AUTHOR,REF_SPE,TABLE_SPP,NR_SPP_TAB,REF_ENV,TABLE_ENV,SUBZONE,COUNTRY,DATASET,REGION,LOCATION,PHYS_DIV,PHYS_SOUR,GEOREF,GEO_SOURC,ACCURACY,LATITUDE,LONGITUDE,ELEVATION,SLOPE,ASPECT,POSITION,SURF_GEOL,HAB_TYPE,SITE_MST,DISTURBAN,ORG_DEPTH,SOIL_TEXT,SOIL_PH,MOSS_IDENT,LIV_IDENT,LICH_IDENT,FLOR_QUAL,CRYP_QUAL,COV_TREES,COV_SHRUBS,COV_TSHRUB,COV_LSHRUB,COV_DSHRUB,COV_PSHRUB,COV_GRAM,COV_TGRAM,COV_FORB,COV_SLVAS,COV_MOSS,COV_LICH,COV_CRUST,COV_ALGAE,COV_SOIL,COV_ROCK,COV_WATER,COV_LITTER,COV_TOTAL,MEAN_HT,TREE_HT,SHRUB_HT,HERB_HT,MOSS_HT,REMARKS
21070,66,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,9,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,+,1,,,,,,,5,,0,0,,,
21071,65,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,7,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,+,+,,,,,,,5,,0,0,,,
21072,64,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,8,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,1,+,,,,,,,5,,0,0,,,
21073,63,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,11,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,1,+,,,,,,,5,,0,0,,,
21074,62,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,3,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,3,2,,,,,,,15,,0,0,,,
21075,61,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,10,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,3,2,,,,,,,10,,0,0,,,
21076,67,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,1,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,360,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,1,5,,,,,,,10,,0,0,,,
21077,68,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,2,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,+,4,,,,,,,45,,0,0,,,
21078,69,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,4,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,5,,,,,,,10,,0,0,,,
21079,70,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,5,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,5,,,,,,,50,,0,0,,,
21080,70a,,,S,1,N,R,,,B-B,Ranunculo sabini–Phippsietum algidae,NM,43,3,6,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,+,,,,,,,90,,0,0,,,
21081,52,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,16,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,100,,0,0,,,
21082,53,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,17,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,7,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,20,,,,,,,100,,0,0,,,
21083,51,,,S,1,N,R,,,B-B,Cetrariello delisi–Gymnomitrietum corallioides,NM,43,3,13,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,15,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,95,5,,,,,,,100,,0,0,,,
