"observation_id","occurrence_id","name_submitted","family","genus","latitude","longitude","decimalLatitude","decimalLongitude","country","country_code","state_province","county_parish","municipality","country_raw","state_province_raw","county_raw","municipality_raw","political_units_raw","locality","verbatim_locality","locality_notes","island","island_group","water_body","date_collected","event_year","event_month","event_day","collector","catalog_number","record_number","basis_of_record","occurrence_status","establishment_means","verbatim_elevation","elevation_m","elevation_min_m","elevation_max_m","coordinate_uncertainty_m","geodetic_datum","georeference_remarks","habitat","occurrence_remarks","source_citation","source_url","source_file","source_sheet","original_row_number","taxon_scrub_status","tnrs_matched_name","gnrs_status","gvs_status","nsr_native_status"
"dayneko_2023_1","Anc.sett.plant.001","Agropyron pectinatum (M.Bieb.) P.Beauv.","Poaceae","Agropyron",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",1,"UNRESOLVED",,,,
"dayneko_2023_2","Anc.sett.plant.002","Allium guttatum Steven","Amaryllidaceae","Allium",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",2,"UNRESOLVED",,,,
"dayneko_2023_3","Anc.sett.plant.003","Allium paczoskianum Tuzson","Amaryllidaceae","Allium",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",3,"UNRESOLVED",,,,
"dayneko_2023_4","Anc.sett.plant.004","Allium paniculatum L.","Amaryllidaceae","Allium",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",4,"UNRESOLVED",,,,
"dayneko_2023_5","Anc.sett.plant.005","Asparagus officinalis L.","Asparagaceae","Asparagus",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",5,"UNRESOLVED",,,,
"dayneko_2023_6","Anc.sett.plant.006","Asparagus verticillatus L.","Asparagaceae","Asparagus",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",6,"UNRESOLVED",,,,
"dayneko_2023_7","Anc.sett.plant.007","Carex stenophylla Wahlenb.","Cyperaceae","Carex",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",7,"UNRESOLVED",,,,
"dayneko_2023_8","Anc.sett.plant.008","Cuscuta approximata Bab.","Convolvulaceae","Cuscuta",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",8,"UNRESOLVED",,,,
"dayneko_2023_9","Anc.sett.plant.009","Cuscuta lupuliformis Krock.","Convolvulaceae","Cuscuta",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",9,"UNRESOLVED",,,,
"dayneko_2023_10","Anc.sett.plant.010","Echinochloa crus-galli (L.) P.Beauv.","Poaceae","Echinochloa",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",10,"UNRESOLVED",,,,
"dayneko_2023_11","Anc.sett.plant.011","Elytrigia stipifolia (Trautv.) Nevski","Poaceae","Elytrigia",46.956663,33.613434,46.956663,33.613434,"Ukraine","UA","Kherson Region","Beryslav District",,"Ukraine","Kherson Region","Beryslav District",,"country=Ukraine | countryCode=UA | stateProvince=Kherson Region | county=Beryslav District","Chervonomaiatske ancient settlement, near village Chervonyi Mayak","Chervonomaiatske ancient settlement, near village Chervonyi Mayak",,,,,"2015-04/2020-09",2015,4,20,"Moysiyenko I.I. | Sudnik-Wójcikowska B. | Dembicz I. | Zachwatowicz M. | Dayneko P.",,,"MaterialCitation",,,,,,,,"WGS84","describing the smallest circle containing the whole of the Location (From 94.9 m to 362.6 m)",,,"Dayneko P, Moysiyenko I, Sudnik-Wojcikowska B, Dembicz I, Zachwatowicz M, Skobel N (2023) Ancient settlements as natural heritage sites: the first occurrence dataset on vascular plant species from ancient settlements in the Lower Dnipro region (Ukraine). Biodiversity Data Journal 11: e99041. https://doi.org/10.3897/bdj.11.e99041","https://bdj.pensoft.net/article/99041/","dayneko_2023_gbif_dwca.zip","occurrence",11,"UNRESOLVED",,,,
