"observation_id","occurrence_id","name_submitted","family","genus","latitude","longitude","decimalLatitude","decimalLongitude","country","country_code","state_province","county_parish","municipality","country_raw","state_province_raw","county_raw","municipality_raw","political_units_raw","locality","verbatim_locality","locality_notes","island","island_group","water_body","date_collected","event_year","event_month","event_day","collector","catalog_number","record_number","basis_of_record","occurrence_status","establishment_means","verbatim_elevation","elevation_m","elevation_min_m","elevation_max_m","coordinate_uncertainty_m","geodetic_datum","georeference_remarks","habitat","occurrence_remarks","source_citation","source_url","source_file","source_sheet","original_row_number","taxon_scrub_status","tnrs_matched_name","gnrs_status","gvs_status","nsr_native_status"
"gosline_2023_1","29020","MaterialCitation",,,10.3809,-9.3092,10.3809,-9.3092,,"GN",,,,,,,,"countryCode=GN",,,,,,,"05/11/1966",,,66,"Lisowski, S.","POZG-V-0059443","24877","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",1,"UNRESOLVED",,,,
"gosline_2023_2","21635","MaterialCitation",,,9.77,-13.34,9.77,-13.34,,"GN",,,,,,,,"countryCode=GN",,,,,,,"20/10/1905",,,5,"Caille, O","P00389347","14910","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",2,"UNRESOLVED",,,,
"gosline_2023_3","6711","MaterialCitation",,,10.75,-14.55,10.75,-14.55,,"GN",,,,,,,,"countryCode=GN",,,,,,,"20/11/2007",,,7,"Burgt, XM van der","K001061535","994","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",3,"UNRESOLVED",,,,
"gosline_2023_4","19958","MaterialCitation",,,7.65,-8.43,7.65,-8.43,,"GN",,,,,,,,"countryCode=GN",,,,,,,"06/08/2008",,,8,"Jongkind, CCH","WAG.1729861","8312","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",4,"UNRESOLVED",,,,
"gosline_2023_5","27635","MaterialCitation",,,,,,,,"GN",,,,,,,,"countryCode=GN",,,,,,,,,,,"Roux","lit.","checklist","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",5,"UNRESOLVED",,,,
"gosline_2023_6","1637","MaterialCitation",,,8.49,-8.9,8.49,-8.9,,"GN",,,,,,,,"countryCode=GN",,,,,,,"26/09/2011",,,11,"Bosch, CH","WAG.1534922","358","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",6,"UNRESOLVED",,,,
"gosline_2023_7","2335","MaterialCitation",,,11.16,-13.89,11.16,-13.89,,"GN",,,,,,,,"countryCode=GN",,,,,,,"19/11/2013",,,13,"Guilavogui, K","K001974013","631","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",7,"UNRESOLVED",,,,
"gosline_2023_8","14215","MaterialCitation",,,7.69,-8.39,7.69,-8.39,,"GN",,,,,,,,"countryCode=GN",,,,,,,"04/12/2007",,,7,"Nimba Botanic Team","WAG.1000244","WH 1585","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",8,"UNRESOLVED",,,,
"gosline_2023_9","6806","MaterialCitation",,,10.73,-14.55,10.73,-14.55,,"GN",,,,,,,,"countryCode=GN",,,,,,,"26/11/2007",,,7,"Camara, A","K000460986","93","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",9,"UNRESOLVED",,,,
"gosline_2023_10","19012","MaterialCitation",,,7.64,-9.26,7.64,-9.26,,"GN",,,,,,,,"countryCode=GN",,,,,,,"01/05/2011",,,11,"Jongkind, CCH","WAG.1534934","10513","preservedspecimen",,,,,,,,,,,,"Gosline G, Laing T, Burrows J, Jansen-Jacobs M, Sonke B, Cheek M (2023) A Taxonomically-verified and Vouchered Checklist of the Vascular Plants of the Republic of Guinea. Scientific Data 10. https://doi.org/10.1038/s41597-023-02236-6","https://www.nature.com/articles/s41597-023-02236-6","gosline_2023_gbif_dwca.zip","occurrence",10,"UNRESOLVED",,,,
